method,n_online,run_id,t,is_covered,length,is_inf,cal_size,selected_total
upper,100,0,0,1,inf,1,0.0,24
upper,100,0,1,1,inf,1,2.0,24
upper,100,0,2,1,inf,1,6.0,24
upper,100,0,3,1,inf,1,24.0,24
upper,100,0,4,1,inf,1,120.0,24
upper,100,0,5,1,inf,1,720.0,24
upper,100,0,6,1,1.632926946566859,0,1001.0,24
upper,100,0,7,1,1.6329269465668588,0,1001.0,24
upper,100,0,8,1,1.632926946566859,0,1001.0,24
upper,100,0,9,1,0.9926725800038521,0,1001.0,24
upper,100,0,10,1,0.9926725800038518,0,1001.0,24
upper,100,0,11,1,0.8535133055179633,0,1001.0,24
upper,100,0,12,0,0.8535133055179633,0,1001.0,24
upper,100,0,13,1,0.9926725800038518,0,1001.0,24
upper,100,0,14,1,0.8535133055179633,0,1001.0,24
upper,100,0,15,1,0.8535133055179633,0,1001.0,24
upper,100,0,16,1,0.8529168424699933,0,1001.0,24
upper,100,0,17,1,0.8529168424699933,0,1001.0,24
upper,100,0,18,0,0.8236513957079223,0,1001.0,24
upper,100,0,19,1,0.8529168424699933,0,999.0,24
upper,100,0,20,1,0.8529168424699933,0,999.5,24
upper,100,0,21,1,0.836431670686199,0,992.0,24
upper,100,0,22,0,0.8364316706861988,0,992.5,24
upper,100,0,23,0,0.8529168424699933,0,943.5,24
upper,100,2,0,1,inf,1,0.0,24
upper,100,2,1,1,inf,1,2.0,24
upper,100,2,2,1,inf,1,6.0,24
upper,100,2,3,1,inf,1,24.0,24
upper,100,2,4,1,inf,1,120.0,24
upper,100,2,5,1,inf,1,720.0,24
upper,100,2,6,1,2.792541597857302,0,1001.0,24
upper,100,2,7,1,2.792541597857302,0,1001.0,24
upper,100,2,8,1,2.792541597857302,0,1001.0,24
upper,100,2,9,0,2.087779996447093,0,1001.0,24
upper,100,2,10,1,2.792541597857302,0,1001.0,24
upper,100,2,11,1,2.7925415978573023,0,1001.0,24
upper,100,2,12,1,2.087779996447093,0,1001.0,24
upper,100,2,13,1,1.7512292941300815,0,1001.0,24
upper,100,2,14,1,1.7512292941300815,0,1001.0,24
upper,100,2,15,1,1.7512292941300815,0,1001.0,24
upper,100,2,16,1,1.7512292941300815,0,1001.0,24
upper,100,2,17,1,1.3721577513025864,0,1001.0,24
upper,100,2,18,1,1.3721577513025864,0,1001.0,24
upper,100,2,19,1,1.1987295576691426,0,999.0,24
upper,100,2,20,1,1.0930653429976385,0,999.5,24
upper,100,2,21,0,1.0930653429976385,0,987.0,24
upper,100,2,22,1,1.1987295576691428,0,972.5,24
upper,100,2,23,1,1.0930653429976385,0,929.0,24
upper,100,1,0,1,inf,1,0.0,24
upper,100,1,1,1,inf,1,2.0,24
upper,100,1,2,1,inf,1,6.0,24
upper,100,1,3,1,inf,1,24.0,24
upper,100,1,4,1,inf,1,120.0,24
upper,100,1,5,1,inf,1,720.0,24
upper,100,1,6,1,4.755911902448183,0,1001.0,24
upper,100,1,7,1,4.755911902448183,0,1001.0,24
upper,100,1,8,1,2.009980538252859,0,1001.0,24
upper,100,1,9,1,2.009980538252859,0,1001.0,24
upper,100,1,10,1,2.009980538252859,0,1001.0,24
upper,100,1,11,1,1.69715744903107,0,1001.0,24
upper,100,1,12,1,1.69715744903107,0,994.5,24
upper,100,1,13,1,1.4888696840230065,0,999.0,24
upper,100,1,14,1,1.4888696840230065,0,1000.5,24
upper,100,1,15,1,1.4888696840230065,0,1001.0,24
upper,100,1,16,1,1.4067497826256845,0,1000.5,24
upper,100,1,17,1,1.4067497826256847,0,1001.0,24
upper,100,1,18,1,1.0192729738910788,0,1000.0,24
upper,100,1,19,1,1.0192729738910788,0,1000.5,24
upper,100,1,20,0,1.0192729738910788,0,995.5,24
upper,100,1,21,1,1.4067497826256847,0,981.0,24
upper,100,1,22,1,1.0192729738910788,0,973.0,24
upper,100,1,23,1,1.0192729738910788,0,915.0,24
upper,100,4,0,1,inf,1,0.0,25
upper,100,4,1,1,inf,1,2.0,25
upper,100,4,2,1,inf,1,6.0,25
upper,100,4,3,1,inf,1,24.0,25
upper,100,4,4,1,inf,1,120.0,25
upper,100,4,5,1,inf,1,720.0,25
upper,100,4,6,1,1.8940233077085673,0,1001.0,25
upper,100,4,7,1,1.8940233077085669,0,1001.0,25
upper,100,4,8,1,1.7707111383205898,0,1001.0,25
upper,100,4,9,0,1.77071113832059,0,1001.0,25
upper,100,4,10,1,1.8940233077085673,0,1001.0,25
upper,100,4,11,1,1.77071113832059,0,1001.0,25
upper,100,4,12,1,1.77071113832059,0,1001.0,25
upper,100,4,13,0,1.70387561888586,0,1001.0,25
upper,100,4,14,1,1.77071113832059,0,1001.0,25
upper,100,4,15,0,1.77071113832059,0,1000.5,25
upper,100,4,16,1,1.77071113832059,0,1001.0,25
upper,100,4,17,0,1.77071113832059,0,1001.0,25
upper,100,4,18,1,1.8940233077085669,0,1001.0,25
upper,100,4,19,1,1.7707111383205902,0,999.0,25
upper,100,4,20,1,1.77071113832059,0,996.5,25
upper,100,4,21,1,1.70387561888586,0,995.0,25
upper,100,4,22,1,1.70387561888586,0,958.5,25
upper,100,4,23,1,1.70387561888586,0,889.0,25
upper,100,4,24,1,1.5575284695317433,0,352.5,25
upper,100,3,0,1,inf,1,0.0,25
upper,100,3,1,1,inf,1,2.0,25
upper,100,3,2,1,inf,1,6.0,25
upper,100,3,3,1,inf,1,24.0,25
upper,100,3,4,1,inf,1,120.0,25
upper,100,3,5,1,inf,1,720.0,25
upper,100,3,6,1,2.9785296417294584,0,1001.0,25
upper,100,3,7,1,2.9785296417294584,0,1001.0,25
upper,100,3,8,1,2.978529641729458,0,1001.0,25
upper,100,3,9,1,2.7566743318055797,0,1001.0,25
upper,100,3,10,1,1.0071742319966912,0,1001.0,25
