Experiment Results - 20250810_211425
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    0 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    1 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    2.000 |    0.000
     Upper |    2 |    531 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    3.819 |    0.831
     Upper |    3 |    648 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   17.639 |    2.009
     Upper |    4 |    458 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   68.175 |   11.402
     Upper |    5 |    507 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  412.970 |   71.284
     Upper |    6 |    413 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  524.070 |  102.085
     Upper |    7 |    435 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  543.337 |   89.586
     Upper |    8 |    363 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  486.468 |  114.905
     Upper |    9 |    428 |   0.991 |   0.096 |     inf |     nan |       0.937 |       0.243 |  498.312 |  104.135
     Upper |   10 |    361 |   0.992 |   0.091 |     inf |     nan |       0.967 |       0.179 |  483.717 |   94.743
     Upper |   11 |    374 |   0.941 |   0.235 |     inf |     nan |       0.583 |       0.493 |  472.338 |  103.745
     Upper |   12 |    306 |   0.912 |   0.284 |     inf |     nan |       0.539 |       0.498 |  470.160 |   92.412
     Upper |   13 |    337 |   0.914 |   0.280 |   3.211 |     nan |       0.320 |       0.467 |  465.678 |   97.374
     Upper |   14 |    356 |   0.876 |   0.329 |   3.575 |     nan |       0.351 |       0.477 |  457.028 |   97.619
     Upper |   15 |    342 |   0.860 |   0.347 |   2.927 |     nan |       0.190 |       0.392 |  453.022 |  100.410
     Upper |   16 |    336 |   0.893 |   0.309 |   2.978 |     nan |       0.232 |       0.422 |  445.372 |  104.496
     Upper |   17 |    345 |   0.855 |   0.352 |   2.650 |     nan |       0.154 |       0.361 |  439.690 |  100.130
     Upper |   18 |    309 |   0.858 |   0.349 |   2.814 |     nan |       0.188 |       0.390 |  431.359 |  106.104
     Upper |   19 |    328 |   0.887 |   0.316 |   2.524 |     nan |       0.131 |       0.338 |  429.939 |  103.179
     Upper |   20 |    296 |   0.838 |   0.369 |   2.648 |     nan |       0.182 |       0.386 |  413.662 |  109.319
     Upper |   21 |    328 |   0.838 |   0.368 |   2.396 |     nan |       0.037 |       0.188 |  439.890 |   86.501
     Upper |   22 |    308 |   0.864 |   0.343 |   2.434 |     nan |       0.127 |       0.333 |  422.198 |  100.813
