Experiment Results - 20250802_132554
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    0 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    1 |    684 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    1.468 |    0.884
     Upper |    2 |    535 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    4.158 |    1.383
     Upper |    3 |    486 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   14.879 |    4.344
     Upper |    4 |    496 |   1.000 |   0.000 |     inf |     nan |       0.998 |       0.045 |   66.460 |   16.282
     Upper |    5 |    433 |   0.998 |   0.048 |     inf |     nan |       0.993 |       0.083 |  370.573 |   85.151
     Upper |    6 |    411 |   0.998 |   0.049 |     inf |     nan |       0.956 |       0.205 |  502.698 |  119.987
     Upper |    7 |    383 |   0.974 |   0.159 |     inf |     nan |       0.919 |       0.273 |  483.799 |  112.062
     Upper |    8 |    368 |   0.981 |   0.137 |     inf |     nan |       0.837 |       0.369 |  461.549 |  115.453
     Upper |    9 |    385 |   0.964 |   0.187 |     inf |     nan |       0.782 |       0.413 |  460.444 |  105.935
     Upper |   10 |    363 |   0.917 |   0.275 |     inf |     nan |       0.631 |       0.483 |  442.481 |  112.775
     Upper |   11 |    343 |   0.904 |   0.295 |   4.224 |     nan |       0.464 |       0.499 |  433.859 |  115.163
     Upper |   12 |    321 |   0.869 |   0.337 |   3.055 |     nan |       0.299 |       0.458 |  439.221 |  106.376
     Upper |   13 |    307 |   0.886 |   0.318 |   2.940 |     nan |       0.254 |       0.435 |  430.739 |  110.599
     Upper |   14 |    357 |   0.840 |   0.366 |   2.771 |     nan |       0.134 |       0.341 |  434.396 |  101.635
     Upper |   15 |    330 |   0.815 |   0.388 |   2.591 |     nan |       0.115 |       0.319 |  415.242 |  108.202
     Upper |   16 |    346 |   0.858 |   0.349 |   2.533 |     nan |       0.113 |       0.316 |  407.458 |  116.460
     Upper |   17 |    321 |   0.829 |   0.377 |   2.431 |     nan |       0.072 |       0.258 |  406.871 |  112.475
     Upper |   18 |    319 |   0.799 |   0.400 |   2.287 |     nan |       0.053 |       0.225 |  402.534 |  108.291
     Upper |   19 |    320 |   0.859 |   0.348 |   2.211 |     nan |       0.053 |       0.224 |  396.216 |  113.702
     Upper |   20 |    300 |   0.777 |   0.416 |   2.263 |     nan |       0.043 |       0.204 |  390.180 |  112.565
     Upper |   21 |    306 |   0.824 |   0.381 |   2.199 |     nan |       0.016 |       0.127 |  406.376 |   98.262
     Upper |   22 |    309 |   0.793 |   0.405 |   2.184 |     nan |       0.023 |       0.149 |  387.812 |  110.308
