Experiment Results - 20250730_125745
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 2000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    1 |    503 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    2 |    432 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    1.991 |    2.000
     Upper |    3 |    384 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    8.438 |    5.483
     Upper |    4 |    392 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   44.571 |   12.362
     Upper |    5 |    361 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  270.249 |   52.105
     Upper |    6 |    369 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  740.125 |  141.831
     Upper |    7 |    352 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  717.219 |   89.255
     Upper |    8 |    323 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  687.418 |   69.086
     Upper |    9 |    356 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  684.941 |  101.274
     Upper |   10 |    341 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  686.062 |   78.842
     Upper |   11 |    334 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  667.686 |   20.860
     Upper |   12 |    324 |   0.969 |   0.173 |     inf |     nan |       0.836 |       0.370 |  663.660 |   73.264
     Upper |   13 |    323 |   0.947 |   0.223 |     inf |     nan |       0.684 |       0.465 |  668.133 |   71.224
     Upper |   14 |    350 |   0.926 |   0.262 |     inf |     nan |       0.620 |       0.485 |  656.057 |   44.565
     Upper |   15 |    310 |   0.881 |   0.324 |   4.119 |     nan |       0.429 |       0.495 |  653.874 |   52.922
     Upper |   16 |    336 |   0.887 |   0.317 |   3.118 |     nan |       0.232 |       0.422 |  651.399 |   62.832
     Upper |   17 |    325 |   0.849 |   0.358 |   2.918 |     nan |       0.095 |       0.294 |  645.412 |   48.455
     Upper |   18 |    314 |   0.860 |   0.347 |   2.751 |   1.067 |       0.000 |       0.000 |  643.955 |   40.372
     Upper |   19 |    331 |   0.876 |   0.329 |   2.814 |   1.025 |       0.000 |       0.000 |  650.260 |   55.329
     Upper |   20 |    305 |   0.849 |   0.358 |   2.865 |   1.039 |       0.000 |       0.000 |  638.289 |   49.296
     Upper |   21 |    309 |   0.838 |   0.368 |   2.781 |   1.020 |       0.000 |       0.000 |  639.586 |   20.409
     Upper |   22 |    325 |   0.843 |   0.364 |   2.633 |   1.043 |       0.000 |       0.000 |  634.560 |   46.015
     Upper |   23 |    321 |   0.807 |   0.395 |   2.485 |   0.965 |       0.000 |       0.000 |  637.548 |   43.184
     Upper |   24 |    308 |   0.789 |   0.408 |   2.265 |   0.876 |       0.000 |       0.000 |  634.458 |   30.478
     Upper |   25 |    319 |   0.743 |   0.437 |   2.256 |   0.882 |       0.000 |       0.000 |  635.339 |   36.698
     Upper |   26 |    332 |   0.690 |   0.463 |   2.289 |   0.772 |       0.000 |       0.000 |  632.099 |   41.896
     Upper |   27 |    314 |   0.783 |   0.412 |   2.318 |   0.771 |       0.000 |       0.000 |  629.573 |   34.858
     Upper |   28 |    317 |   0.779 |   0.415 |   2.347 |   0.715 |       0.000 |       0.000 |  629.931 |   28.782
     Upper |   29 |    293 |   0.802 |   0.398 |   2.332 |   0.708 |       0.000 |       0.000 |  629.556 |   41.171
     Upper |   30 |    324 |   0.765 |   0.424 |   2.268 |   0.737 |       0.000 |       0.000 |  626.920 |   35.951
     Upper |   31 |    305 |   0.774 |   0.418 |   2.188 |   0.637 |       0.000 |       0.000 |  627.269 |   21.110
     Upper |   32 |    316 |   0.791 |   0.406 |   2.156 |   0.720 |       0.000 |       0.000 |  626.174 |   32.983
     Upper |   33 |    316 |   0.737 |   0.440 |   2.099 |   0.667 |       0.000 |       0.000 |  626.263 |   35.303
     Upper |   34 |    343 |   0.781 |   0.413 |   2.119 |   0.590 |       0.000 |       0.000 |  625.924 |   23.868
     Upper |   35 |    311 |   0.704 |   0.456 |   2.079 |   0.603 |       0.000 |       0.000 |  623.412 |   30.863
     Upper |   36 |    328 |   0.710 |   0.454 |   2.162 |   0.610 |       0.000 |       0.000 |  623.530 |   34.905
     Upper |   37 |    299 |   0.793 |   0.405 |   2.142 |   0.586 |       0.000 |       0.000 |  624.492 |   29.464
     Upper |   38 |    303 |   0.729 |   0.444 |   2.119 |   0.569 |       0.000 |       0.000 |  621.594 |   25.232
     Upper |   39 |    284 |   0.764 |   0.425 |   2.082 |   0.565 |       0.000 |       0.000 |  622.444 |   32.108
     Upper |   40 |    288 |   0.726 |   0.446 |   2.045 |   0.572 |       0.000 |       0.000 |  620.194 |   33.573
     Upper |   41 |    304 |   0.724 |   0.447 |   1.953 |   0.561 |       0.000 |       0.000 |  620.984 |   19.989
     Upper |   42 |    293 |   0.706 |   0.455 |   1.940 |   0.543 |       0.000 |       0.000 |  621.587 |   30.801
     Upper |   43 |    325 |   0.683 |   0.465 |   1.974 |   0.528 |       0.000 |       0.000 |  621.631 |   29.555
     Upper |   44 |    322 |   0.742 |   0.437 |   1.983 |   0.515 |       0.000 |       0.000 |  619.972 |   23.328
     Upper |   45 |    302 |   0.728 |   0.445 |   1.973 |   0.504 |       0.000 |       0.000 |  615.967 |   27.858
     Upper |   46 |    294 |   0.701 |   0.458 |   2.004 |   0.495 |       0.000 |       0.000 |  616.214 |   29.001
     Upper |   47 |    295 |   0.658 |   0.475 |   1.946 |   0.483 |       0.000 |       0.000 |  618.939 |   26.488
     Upper |   48 |    298 |   0.711 |   0.453 |   1.927 |   0.491 |       0.000 |       0.000 |  615.611 |   23.741
     Upper |   49 |    300 |   0.680 |   0.466 |   1.959 |   0.475 |       0.000 |       0.000 |  615.833 |   29.535
     Upper |   50 |    303 |   0.706 |   0.455 |   1.893 |   0.448 |       0.000 |       0.000 |  614.875 |   25.633
     Upper |   51 |    321 |   0.670 |   0.470 |   1.911 |   0.478 |       0.000 |       0.000 |  617.838 |   20.581
     Upper |   52 |    287 |   0.700 |   0.458 |   1.911 |   0.447 |       0.000 |       0.000 |  615.962 |   27.343
     Upper |   53 |    313 |   0.703 |   0.457 |   1.891 |   0.455 |       0.000 |       0.000 |  615.281 |   28.888
     Upper |   54 |    349 |   0.668 |   0.471 |   1.895 |   0.441 |       0.000 |       0.000 |  615.544 |   24.330
     Upper |   55 |    281 |   0.705 |   0.456 |   1.861 |   0.458 |       0.000 |       0.000 |  614.779 |   24.554
     Upper |   56 |    320 |   0.659 |   0.474 |   1.854 |   0.434 |       0.000 |       0.000 |  614.837 |   26.919
     Upper |   57 |    319 |   0.724 |   0.447 |   1.805 |   0.438 |       0.000 |       0.000 |  615.191 |   23.751
     Upper |   58 |    294 |   0.656 |   0.475 |   1.817 |   0.447 |       0.000 |       0.000 |  615.544 |   21.971
     Upper |   59 |    304 |   0.658 |   0.474 |   1.875 |   0.409 |       0.000 |       0.000 |  615.438 |   24.324
     Upper |   60 |    321 |   0.701 |   0.458 |   1.846 |   0.418 |       0.000 |       0.000 |  614.576 |   26.157
     Upper |   61 |    301 |   0.661 |   0.473 |   1.842 |   0.411 |       0.000 |       0.000 |  613.561 |   19.388
     Upper |   62 |    319 |   0.661 |   0.473 |   1.816 |   0.414 |       0.000 |       0.000 |  614.204 |   24.178
     Upper |   63 |    317 |   0.669 |   0.471 |   1.781 |   0.437 |       0.000 |       0.000 |  615.691 |   25.261
     Upper |   64 |    283 |   0.731 |   0.443 |   1.802 |   0.388 |       0.000 |       0.000 |  613.459 |   22.107
     Upper |   65 |    299 |   0.712 |   0.453 |   1.850 |   0.440 |       0.000 |       0.000 |  614.007 |   24.297
     Upper |   66 |    281 |   0.601 |   0.490 |   1.779 |   0.395 |       0.000 |       0.000 |  612.235 |   26.662
     Upper |   67 |    281 |   0.644 |   0.479 |   1.780 |   0.397 |       0.000 |       0.000 |  611.940 |   25.167
     Upper |   68 |    319 |   0.643 |   0.479 |   1.799 |   0.391 |       0.000 |       0.000 |  611.602 |   22.336
     Upper |   69 |    316 |   0.677 |   0.468 |   1.817 |   0.381 |       0.000 |       0.000 |  615.149 |   23.559
     Upper |   70 |    320 |   0.662 |   0.473 |   1.820 |   0.404 |       0.000 |       0.000 |  613.600 |   24.371
     Upper |   71 |    285 |   0.691 |   0.462 |   1.778 |   0.415 |       0.000 |       0.000 |  614.242 |   21.881
     Upper |   72 |    317 |   0.662 |   0.473 |   1.766 |   0.380 |       0.000 |       0.000 |  612.151 |   22.664
     Upper |   73 |    296 |   0.686 |   0.464 |   1.813 |   0.395 |       0.000 |       0.000 |  612.581 |   23.663
     Upper |   74 |    304 |   0.612 |   0.487 |   1.768 |   0.382 |       0.000 |       0.000 |  614.658 |   21.521
     Upper |   75 |    278 |   0.701 |   0.458 |   1.792 |   0.402 |       0.000 |       0.000 |  613.464 |   23.070
     Upper |   76 |    306 |   0.709 |   0.454 |   1.827 |   0.403 |       0.000 |       0.000 |  611.546 |   25.364
     Upper |   77 |    315 |   0.670 |   0.470 |   1.774 |   0.382 |       0.000 |       0.000 |  610.914 |   22.408
     Upper |   78 |    297 |   0.697 |   0.460 |   1.798 |   0.386 |       0.000 |       0.000 |  611.125 |   22.163
     Upper |   79 |    285 |   0.568 |   0.495 |   1.766 |   0.344 |       0.000 |       0.000 |  613.056 |   26.930
     Upper |   80 |    307 |   0.651 |   0.477 |   1.763 |   0.367 |       0.000 |       0.000 |  613.039 |   23.278
     Upper |   81 |    290 |   0.676 |   0.468 |   1.781 |   0.345 |       0.000 |       0.000 |  611.407 |   21.177
     Upper |   82 |    293 |   0.645 |   0.478 |   1.751 |   0.362 |       0.000 |       0.000 |  608.983 |   24.165
     Upper |   83 |    314 |   0.685 |   0.465 |   1.791 |   0.369 |       0.000 |       0.000 |  607.720 |   24.428
     Upper |   84 |    312 |   0.641 |   0.480 |   1.762 |   0.346 |       0.000 |       0.000 |  610.010 |   21.786
     Upper |   85 |    305 |   0.718 |   0.450 |   1.787 |   0.327 |       0.000 |       0.000 |  609.531 |   22.771
     Upper |   86 |    282 |   0.642 |   0.479 |   1.742 |   0.362 |       0.000 |       0.000 |  609.156 |   24.677
     Upper |   87 |    289 |   0.661 |   0.473 |   1.741 |   0.348 |       0.000 |       0.000 |  608.453 |   23.052
     Upper |   88 |    314 |   0.656 |   0.475 |   1.753 |   0.346 |       0.000 |       0.000 |  610.764 |   20.739
     Upper |   89 |    294 |   0.670 |   0.470 |   1.751 |   0.335 |       0.000 |       0.000 |  612.119 |   22.914
     Upper |   90 |    311 |   0.672 |   0.469 |   1.744 |   0.343 |       0.000 |       0.000 |  611.424 |   23.377
     Upper |   91 |    293 |   0.648 |   0.477 |   1.750 |   0.326 |       0.000 |       0.000 |  610.812 |   20.567
     Upper |   92 |    302 |   0.629 |   0.483 |   1.731 |   0.338 |       0.000 |       0.000 |  611.530 |   21.247
     Upper |   93 |    300 |   0.653 |   0.476 |   1.737 |   0.349 |       0.000 |       0.000 |  609.707 |   24.452
     Upper |   94 |    275 |   0.644 |   0.479 |   1.754 |   0.335 |       0.000 |       0.000 |  607.949 |   21.287
     Upper |   95 |    305 |   0.626 |   0.484 |   1.721 |   0.316 |       0.000 |       0.000 |  609.744 |   22.460
     Upper |   96 |    285 |   0.688 |   0.463 |   1.723 |   0.323 |       0.000 |       0.000 |  608.807 |   22.405
     Upper |   97 |    285 |   0.653 |   0.476 |   1.698 |   0.340 |       0.000 |       0.000 |  606.709 |   21.589
     Upper |   98 |    304 |   0.641 |   0.480 |   1.725 |   0.319 |       0.000 |       0.000 |  609.312 |   22.177
     Upper |   99 |    297 |   0.653 |   0.476 |   1.739 |   0.337 |       0.000 |       0.000 |  609.822 |   23.307
     Upper |  100 |    306 |   0.683 |   0.465 |   1.717 |   0.336 |       0.000 |       0.000 |  610.275 |   22.790
     Upper |  101 |    309 |   0.663 |   0.473 |   1.709 |   0.334 |       0.000 |       0.000 |  611.275 |   20.346
     Upper |  102 |    310 |   0.668 |   0.471 |   1.698 |   0.294 |       0.000 |       0.000 |  608.432 |   23.605
     Upper |  103 |    300 |   0.653 |   0.476 |   1.715 |   0.327 |       0.000 |       0.000 |  609.833 |   22.793
     Upper |  104 |    314 |   0.666 |   0.472 |   1.727 |   0.323 |       0.000 |       0.000 |  608.290 |   21.273
     Upper |  105 |    285 |   0.639 |   0.480 |   1.723 |   0.296 |       0.000 |       0.000 |  609.074 |   21.859
