Experiment Results - 20250818_210438
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    1 |    503 |   0.636 |   0.481 |   1.407 |   0.267 |       0.000 |       0.000 |  499.853 |   15.488
     Upper |    2 |    490 |   0.651 |   0.477 |   1.507 |   0.294 |       0.000 |       0.000 |  502.778 |   19.102
     Upper |    3 |    476 |   0.676 |   0.468 |   1.522 |   0.307 |       0.000 |       0.000 |  503.895 |   22.164
     Upper |    4 |    523 |   0.620 |   0.486 |   1.503 |   0.321 |       0.000 |       0.000 |  503.315 |   23.446
     Upper |    5 |    480 |   0.646 |   0.478 |   1.540 |   0.317 |       0.000 |       0.000 |  503.312 |   24.711
     Upper |    6 |    512 |   0.666 |   0.472 |   1.548 |   0.330 |       0.000 |       0.000 |  503.480 |   24.439
     Upper |    7 |    505 |   0.653 |   0.476 |   1.518 |   0.321 |       0.000 |       0.000 |  502.483 |   25.616
     Upper |    8 |    476 |   0.649 |   0.477 |   1.530 |   0.329 |       0.000 |       0.000 |  502.242 |   24.354
     Upper |    9 |    524 |   0.666 |   0.472 |   1.530 |   0.332 |       0.000 |       0.000 |  502.307 |   23.925
     Upper |   10 |    503 |   0.620 |   0.485 |   1.543 |   0.322 |       0.000 |       0.000 |  501.674 |   24.665
     Upper |   11 |    497 |   0.676 |   0.468 |   1.538 |   0.319 |       0.000 |       0.000 |  503.195 |   25.562
     Upper |   12 |    485 |   0.633 |   0.482 |   1.540 |   0.317 |       0.000 |       0.000 |  502.746 |   24.615
     Upper |   13 |    491 |   0.664 |   0.472 |   1.505 |   0.341 |       0.000 |       0.000 |  504.128 |   24.676
     Upper |   14 |    537 |   0.607 |   0.488 |   1.520 |   0.322 |       0.000 |       0.000 |  502.845 |   25.253
     Upper |   15 |    504 |   0.631 |   0.483 |   1.537 |   0.324 |       0.000 |       0.000 |  504.788 |   24.128
     Upper |   16 |    516 |   0.647 |   0.478 |   1.516 |   0.321 |       0.000 |       0.000 |  502.905 |   25.287
     Upper |   17 |    496 |   0.665 |   0.472 |   1.538 |   0.331 |       0.000 |       0.000 |  502.970 |   24.628
     Upper |   18 |    497 |   0.648 |   0.478 |   1.540 |   0.319 |       0.000 |       0.000 |  502.141 |   24.074
     Upper |   19 |    520 |   0.690 |   0.462 |   1.510 |   0.329 |       0.000 |       0.000 |  502.162 |   24.434
     Upper |   20 |    479 |   0.635 |   0.482 |   1.554 |   0.305 |       0.000 |       0.000 |  502.841 |   25.718
     Upper |   21 |    501 |   0.659 |   0.474 |   1.523 |   0.344 |       0.000 |       0.000 |  500.443 |   23.799
     Upper |   22 |    526 |   0.631 |   0.482 |   1.523 |   0.330 |       0.000 |       0.000 |  504.388 |   24.657
     Upper |   23 |    499 |   0.687 |   0.464 |   1.530 |   0.321 |       0.000 |       0.000 |  503.405 |   25.882
     Upper |   24 |    507 |   0.645 |   0.479 |   1.530 |   0.313 |       0.000 |       0.000 |  501.929 |   25.264
     Upper |   25 |    506 |   0.646 |   0.478 |   1.525 |   0.317 |       0.000 |       0.000 |  502.057 |   25.003
     Upper |   26 |    514 |   0.619 |   0.486 |   1.504 |   0.316 |       0.000 |       0.000 |  501.430 |   25.263
     Upper |   27 |    510 |   0.659 |   0.474 |   1.501 |   0.334 |       0.000 |       0.000 |  502.304 |   24.382
     Upper |   28 |    496 |   0.641 |   0.480 |   1.523 |   0.309 |       0.000 |       0.000 |  503.871 |   24.869
     Upper |   29 |    491 |   0.678 |   0.467 |   1.509 |   0.320 |       0.000 |       0.000 |  502.454 |   25.397
     Upper |   30 |    513 |   0.676 |   0.468 |   1.548 |   0.325 |       0.000 |       0.000 |  501.832 |   24.220
     Upper |   31 |    511 |   0.656 |   0.475 |   1.523 |   0.317 |       0.000 |       0.000 |  501.186 |   25.127
     Upper |   32 |    503 |   0.704 |   0.457 |   1.505 |   0.339 |       0.000 |       0.000 |  502.398 |   25.002
     Upper |   33 |    503 |   0.674 |   0.469 |   1.524 |   0.316 |       0.000 |       0.000 |  503.654 |   24.775
     Upper |   34 |    503 |   0.640 |   0.480 |   1.516 |   0.340 |       0.000 |       0.000 |  502.217 |   24.119
     Upper |   35 |    470 |   0.655 |   0.475 |   1.496 |   0.311 |       0.000 |       0.000 |  501.123 |   23.459
     Upper |   36 |    516 |   0.612 |   0.487 |   1.538 |   0.321 |       0.000 |       0.000 |  502.324 |   23.231
     Upper |   37 |    500 |   0.702 |   0.457 |   1.519 |   0.320 |       0.000 |       0.000 |  503.646 |   24.698
     Upper |   38 |    513 |   0.659 |   0.474 |   1.498 |   0.318 |       0.000 |       0.000 |  502.265 |   23.663
     Upper |   39 |    482 |   0.678 |   0.467 |   1.529 |   0.318 |       0.000 |       0.000 |  502.232 |   24.702
     Upper |   40 |    481 |   0.649 |   0.477 |   1.519 |   0.320 |       0.000 |       0.000 |  502.723 |   23.231
     Upper |   41 |    508 |   0.667 |   0.471 |   1.500 |   0.321 |       0.000 |       0.000 |  500.870 |   24.288
     Upper |   42 |    485 |   0.647 |   0.478 |   1.514 |   0.319 |       0.000 |       0.000 |  503.047 |   24.495
     Upper |   43 |    527 |   0.641 |   0.480 |   1.507 |   0.304 |       0.000 |       0.000 |  501.159 |   23.012
     Upper |   44 |    509 |   0.658 |   0.474 |   1.519 |   0.315 |       0.000 |       0.000 |  501.525 |   24.052
     Upper |   45 |    488 |   0.621 |   0.485 |   1.520 |   0.317 |       0.000 |       0.000 |  502.275 |   23.835
     Upper |   46 |    500 |   0.636 |   0.481 |   1.511 |   0.303 |       0.000 |       0.000 |  502.234 |   23.416
     Upper |   47 |    491 |   0.642 |   0.480 |   1.509 |   0.315 |       0.000 |       0.000 |  502.391 |   23.000
     Upper |   48 |    521 |   0.660 |   0.474 |   1.504 |   0.320 |       0.000 |       0.000 |  501.495 |   23.395
     Upper |   49 |    479 |   0.635 |   0.482 |   1.488 |   0.294 |       0.000 |       0.000 |  502.994 |   22.299
     Upper |   50 |    512 |   0.625 |   0.484 |   1.508 |   0.303 |       0.000 |       0.000 |  501.998 |   22.068
     Upper |   51 |    495 |   0.602 |   0.489 |   1.516 |   0.308 |       0.000 |       0.000 |  500.923 |   23.607
     Upper |   52 |    486 |   0.621 |   0.485 |   1.490 |   0.309 |       0.000 |       0.000 |  501.823 |   23.647
     Upper |   53 |    517 |   0.625 |   0.484 |   1.504 |   0.320 |       0.000 |       0.000 |  501.721 |   23.689
     Upper |   54 |    522 |   0.590 |   0.492 |   1.486 |   0.297 |       0.000 |       0.000 |  501.569 |   23.210
     Upper |   55 |    455 |   0.640 |   0.480 |   1.506 |   0.297 |       0.000 |       0.000 |  500.815 |   23.016
     Upper |   56 |    520 |   0.602 |   0.490 |   1.482 |   0.291 |       0.000 |       0.000 |  502.290 |   22.436
     Upper |   57 |    515 |   0.633 |   0.482 |   1.503 |   0.293 |       0.000 |       0.000 |  502.177 |   23.684
     Upper |   58 |    486 |   0.601 |   0.490 |   1.496 |   0.292 |       0.000 |       0.000 |  501.815 |   23.093
     Upper |   59 |    494 |   0.615 |   0.487 |   1.492 |   0.287 |       0.000 |       0.000 |  501.648 |   22.810
     Upper |   60 |    508 |   0.648 |   0.478 |   1.494 |   0.292 |       0.000 |       0.000 |  500.551 |   23.106
     Upper |   61 |    479 |   0.608 |   0.488 |   1.475 |   0.282 |       0.000 |       0.000 |  501.307 |   22.652
     Upper |   62 |    514 |   0.586 |   0.493 |   1.481 |   0.281 |       0.000 |       0.000 |  503.086 |   21.878
     Upper |   63 |    503 |   0.632 |   0.482 |   1.484 |   0.293 |       0.000 |       0.000 |  501.511 |   21.887
     Upper |   64 |    497 |   0.664 |   0.472 |   1.498 |   0.257 |       0.000 |       0.000 |  501.700 |   22.202
     Upper |   65 |    490 |   0.645 |   0.479 |   1.492 |   0.285 |       0.000 |       0.000 |  503.024 |   23.401
     Upper |   66 |    489 |   0.589 |   0.492 |   1.484 |   0.274 |       0.000 |       0.000 |  501.648 |   22.708
     Upper |   67 |    493 |   0.623 |   0.485 |   1.464 |   0.280 |       0.000 |       0.000 |  501.992 |   20.821
     Upper |   68 |    512 |   0.580 |   0.494 |   1.489 |   0.282 |       0.000 |       0.000 |  502.365 |   21.494
     Upper |   69 |    507 |   0.639 |   0.480 |   1.471 |   0.261 |       0.000 |       0.000 |  501.444 |   21.275
     Upper |   70 |    508 |   0.618 |   0.486 |   1.482 |   0.266 |       0.000 |       0.000 |  503.675 |   21.887
     Upper |   71 |    482 |   0.651 |   0.477 |   1.464 |   0.254 |       0.000 |       0.000 |  503.355 |   22.612
     Upper |   72 |    513 |   0.643 |   0.479 |   1.472 |   0.272 |       0.000 |       0.000 |  501.499 |   21.719
     Upper |   73 |    492 |   0.622 |   0.485 |   1.488 |   0.261 |       0.000 |       0.000 |  502.205 |   20.775
     Upper |   74 |    492 |   0.591 |   0.492 |   1.477 |   0.263 |       0.000 |       0.000 |  500.482 |   21.974
     Upper |   75 |    465 |   0.645 |   0.478 |   1.487 |   0.268 |       0.000 |       0.000 |  502.553 |   21.154
     Upper |   76 |    531 |   0.650 |   0.477 |   1.467 |   0.267 |       0.000 |       0.000 |  502.836 |   21.269
     Upper |   77 |    518 |   0.622 |   0.485 |   1.476 |   0.249 |       0.000 |       0.000 |  500.861 |   21.917
     Upper |   78 |    497 |   0.636 |   0.481 |   1.469 |   0.253 |       0.000 |       0.000 |  501.736 |   21.889
     Upper |   79 |    463 |   0.605 |   0.489 |   1.487 |   0.255 |       0.000 |       0.000 |  503.104 |   20.958
     Upper |   80 |    518 |   0.610 |   0.488 |   1.455 |   0.264 |       0.000 |       0.000 |  502.498 |   20.204
     Upper |   81 |    491 |   0.662 |   0.473 |   1.474 |   0.246 |       0.000 |       0.000 |  501.173 |   22.406
     Upper |   82 |    487 |   0.612 |   0.487 |   1.463 |   0.257 |       0.000 |       0.000 |  501.376 |   22.207
     Upper |   83 |    518 |   0.631 |   0.482 |   1.455 |   0.255 |       0.000 |       0.000 |  502.622 |   21.645
     Upper |   84 |    496 |   0.587 |   0.492 |   1.485 |   0.251 |       0.000 |       0.000 |  502.758 |   20.117
     Upper |   85 |    500 |   0.684 |   0.465 |   1.485 |   0.241 |       0.000 |       0.000 |  501.996 |   21.195
     Upper |   86 |    490 |   0.600 |   0.490 |   1.464 |   0.247 |       0.000 |       0.000 |  502.308 |   20.810
     Upper |   87 |    495 |   0.616 |   0.486 |   1.455 |   0.234 |       0.000 |       0.000 |  501.309 |   20.104
     Upper |   88 |    510 |   0.592 |   0.491 |   1.465 |   0.242 |       0.000 |       0.000 |  502.257 |   19.602
     Upper |   89 |    497 |   0.638 |   0.481 |   1.468 |   0.231 |       0.000 |       0.000 |  503.175 |   21.620
     Upper |   90 |    510 |   0.661 |   0.473 |   1.458 |   0.246 |       0.000 |       0.000 |  500.616 |   20.636
     Upper |   91 |    509 |   0.609 |   0.488 |   1.461 |   0.228 |       0.000 |       0.000 |  502.263 |   21.625
     Upper |   92 |    477 |   0.600 |   0.490 |   1.446 |   0.249 |       0.000 |       0.000 |  500.658 |   21.068
     Upper |   93 |    505 |   0.638 |   0.481 |   1.467 |   0.243 |       0.000 |       0.000 |  502.156 |   20.978
     Upper |   94 |    463 |   0.616 |   0.486 |   1.449 |   0.239 |       0.000 |       0.000 |  502.633 |   20.645
     Upper |   95 |    502 |   0.610 |   0.488 |   1.450 |   0.226 |       0.000 |       0.000 |  503.002 |   22.018
     Upper |   96 |    491 |   0.640 |   0.480 |   1.466 |   0.232 |       0.000 |       0.000 |  501.163 |   20.632
     Upper |   97 |    481 |   0.649 |   0.477 |   1.446 |   0.236 |       0.000 |       0.000 |  501.927 |   21.066
     Upper |   98 |    527 |   0.600 |   0.490 |   1.441 |   0.218 |       0.000 |       0.000 |  499.920 |   20.965
     Upper |   99 |    486 |   0.630 |   0.483 |   1.458 |   0.245 |       0.000 |       0.000 |  502.300 |   20.913
     Upper |  100 |    491 |   0.637 |   0.481 |   1.444 |   0.228 |       0.000 |       0.000 |  502.000 |   20.256
     Upper |  101 |    506 |   0.646 |   0.478 |   1.446 |   0.227 |       0.000 |       0.000 |  499.957 |   20.285
     Upper |  102 |    493 |   0.609 |   0.488 |   1.444 |   0.219 |       0.000 |       0.000 |  501.103 |   19.705
     Upper |  103 |    483 |   0.623 |   0.485 |   1.454 |   0.223 |       0.000 |       0.000 |  500.826 |   21.016
     Upper |  104 |    513 |   0.610 |   0.488 |   1.454 |   0.231 |       0.000 |       0.000 |  503.074 |   20.739
     Upper |  105 |    491 |   0.627 |   0.484 |   1.459 |   0.221 |       0.000 |       0.000 |  502.118 |   19.841
     Upper |  106 |    498 |   0.604 |   0.489 |   1.456 |   0.220 |       0.000 |       0.000 |  501.908 |   20.368
     Upper |  107 |    494 |   0.605 |   0.489 |   1.422 |   0.221 |       0.000 |       0.000 |  501.097 |   20.604
     Upper |  108 |    509 |   0.633 |   0.482 |   1.448 |   0.221 |       0.000 |       0.000 |  501.607 |   20.212
     Upper |  109 |    481 |   0.609 |   0.488 |   1.443 |   0.224 |       0.000 |       0.000 |  501.871 |   19.781
     Upper |  110 |    499 |   0.609 |   0.488 |   1.454 |   0.219 |       0.000 |       0.000 |  502.016 |   19.295
     Upper |  111 |    495 |   0.610 |   0.488 |   1.432 |   0.220 |       0.000 |       0.000 |  502.659 |   20.767
     Upper |  112 |    502 |   0.641 |   0.480 |   1.440 |   0.222 |       0.000 |       0.000 |  502.540 |   20.747
     Upper |  113 |    502 |   0.657 |   0.475 |   1.441 |   0.211 |       0.000 |       0.000 |  502.221 |   19.952
     Upper |  114 |    511 |   0.636 |   0.481 |   1.441 |   0.225 |       0.000 |       0.000 |  501.585 |   20.313
     Upper |  115 |    506 |   0.644 |   0.479 |   1.444 |   0.211 |       0.000 |       0.000 |  500.069 |   20.920
     Upper |  116 |    483 |   0.613 |   0.487 |   1.450 |   0.218 |       0.000 |       0.000 |  501.238 |   20.171
     Upper |  117 |    499 |   0.559 |   0.496 |   1.447 |   0.213 |       0.000 |       0.000 |  501.689 |   19.927
