Experiment Results - 20250730_213234
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 2000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    1 |    503 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    2 |    490 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    2.800 |    1.582
     Upper |    3 |    476 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   12.393 |    3.233
     Upper |    4 |    523 |   0.985 |   0.123 |     inf |     nan |       0.958 |       0.201 |   62.048 |   10.302
     Upper |    5 |    480 |   0.963 |   0.190 |     inf |     nan |       0.852 |       0.355 |  370.654 |   53.859
     Upper |    6 |    512 |   0.934 |   0.249 |     inf |     nan |       0.693 |       0.461 | 1010.992 |  131.157
     Upper |    7 |    505 |   0.913 |   0.282 |     inf |     nan |       0.537 |       0.499 | 1018.354 |  116.783
     Upper |    8 |    476 |   0.847 |   0.360 |   3.120 |     nan |       0.387 |       0.487 | 1008.084 |  104.331
     Upper |    9 |    524 |   0.838 |   0.369 |   2.579 |     nan |       0.176 |       0.380 | 1006.897 |  100.239
     Upper |   10 |    503 |   0.777 |   0.416 |   2.360 |     nan |       0.040 |       0.195 | 1013.095 |   93.359
     Upper |   11 |    497 |   0.787 |   0.410 |   2.303 |     nan |       0.002 |       0.045 | 1012.537 |   83.493
     Upper |   12 |    485 |   0.759 |   0.428 |   2.205 |   0.947 |       0.000 |       0.000 | 1008.188 |   79.700
     Upper |   13 |    491 |   0.756 |   0.430 |   2.035 |   0.905 |       0.000 |       0.000 | 1007.499 |   79.123
     Upper |   14 |    537 |   0.723 |   0.448 |   2.054 |   0.788 |       0.000 |       0.000 | 1004.765 |   74.945
     Upper |   15 |    504 |   0.738 |   0.440 |   1.985 |   0.667 |       0.000 |       0.000 | 1010.478 |   75.929
     Upper |   16 |    516 |   0.719 |   0.449 |   1.944 |   0.690 |       0.000 |       0.000 | 1005.919 |   74.068
     Upper |   17 |    496 |   0.728 |   0.445 |   1.901 |   0.668 |       0.000 |       0.000 | 1002.266 |   70.528
     Upper |   18 |    497 |   0.702 |   0.457 |   1.903 |   0.608 |       0.000 |       0.000 | 1008.547 |   65.624
     Upper |   19 |    520 |   0.746 |   0.435 |   1.824 |   0.591 |       0.000 |       0.000 | 1008.756 |   64.205
     Upper |   20 |    479 |   0.691 |   0.462 |   1.803 |   0.539 |       0.000 |       0.000 | 1007.699 |   64.191
     Upper |   21 |    501 |   0.703 |   0.457 |   1.804 |   0.564 |       0.000 |       0.000 | 1000.218 |   62.908
     Upper |   22 |    526 |   0.677 |   0.468 |   1.754 |   0.520 |       0.000 |       0.000 | 1007.289 |   63.293
     Upper |   23 |    499 |   0.719 |   0.449 |   1.749 |   0.488 |       0.000 |       0.000 | 1005.940 |   61.528
     Upper |   24 |    507 |   0.698 |   0.459 |   1.746 |   0.497 |       0.000 |       0.000 | 1003.183 |   57.974
     Upper |   25 |    506 |   0.702 |   0.458 |   1.702 |   0.465 |       0.000 |       0.000 | 1003.996 |   56.665
     Upper |   26 |    514 |   0.654 |   0.476 |   1.685 |   0.449 |       0.000 |       0.000 | 1003.646 |   56.293
     Upper |   27 |    510 |   0.684 |   0.465 |   1.661 |   0.451 |       0.000 |       0.000 | 1005.541 |   57.022
     Upper |   28 |    496 |   0.669 |   0.470 |   1.678 |   0.404 |       0.000 |       0.000 | 1006.653 |   56.642
     Upper |   29 |    491 |   0.701 |   0.458 |   1.650 |   0.430 |       0.000 |       0.000 | 1001.705 |   55.434
     Upper |   30 |    513 |   0.692 |   0.462 |   1.654 |   0.412 |       0.000 |       0.000 | 1005.891 |   53.098
     Upper |   31 |    511 |   0.667 |   0.471 |   1.655 |   0.398 |       0.000 |       0.000 | 1004.446 |   51.087
     Upper |   32 |    503 |   0.712 |   0.453 |   1.614 |   0.419 |       0.000 |       0.000 | 1004.563 |   49.792
     Upper |   33 |    503 |   0.682 |   0.466 |   1.645 |   0.369 |       0.000 |       0.000 | 1005.746 |   51.916
     Upper |   34 |    503 |   0.672 |   0.469 |   1.618 |   0.407 |       0.000 |       0.000 | 1003.751 |   51.973
     Upper |   35 |    470 |   0.657 |   0.475 |   1.591 |   0.358 |       0.000 |       0.000 | 1002.100 |   50.119
     Upper |   36 |    516 |   0.612 |   0.487 |   1.622 |   0.372 |       0.000 |       0.000 | 1005.558 |   44.429
     Upper |   37 |    500 |   0.718 |   0.450 |   1.625 |   0.373 |       0.000 |       0.000 | 1007.206 |   48.928
     Upper |   38 |    513 |   0.663 |   0.473 |   1.568 |   0.363 |       0.000 |       0.000 | 1005.805 |   46.825
     Upper |   39 |    482 |   0.705 |   0.456 |   1.598 |   0.356 |       0.000 |       0.000 | 1006.830 |   47.427
     Upper |   40 |    481 |   0.659 |   0.474 |   1.585 |   0.343 |       0.000 |       0.000 | 1007.414 |   48.318
     Upper |   41 |    508 |   0.681 |   0.466 |   1.573 |   0.344 |       0.000 |       0.000 | 1001.598 |   46.328
     Upper |   42 |    485 |   0.656 |   0.475 |   1.568 |   0.348 |       0.000 |       0.000 | 1006.748 |   46.517
     Upper |   43 |    527 |   0.636 |   0.481 |   1.547 |   0.337 |       0.000 |       0.000 | 1002.935 |   45.333
     Upper |   44 |    509 |   0.660 |   0.474 |   1.561 |   0.334 |       0.000 |       0.000 | 1004.896 |   44.683
     Upper |   45 |    488 |   0.619 |   0.486 |   1.552 |   0.331 |       0.000 |       0.000 | 1001.568 |   42.965
     Upper |   46 |    500 |   0.642 |   0.479 |   1.551 |   0.321 |       0.000 |       0.000 | 1005.588 |   44.683
     Upper |   47 |    491 |   0.644 |   0.479 |   1.545 |   0.316 |       0.000 |       0.000 | 1002.709 |   42.777
     Upper |   48 |    521 |   0.668 |   0.471 |   1.551 |   0.336 |       0.000 |       0.000 | 1003.372 |   42.656
     Upper |   49 |    479 |   0.635 |   0.482 |   1.523 |   0.302 |       0.000 |       0.000 | 1001.104 |   40.429
     Upper |   50 |    512 |   0.629 |   0.483 |   1.531 |   0.302 |       0.000 |       0.000 | 1006.164 |   41.038
     Upper |   51 |    495 |   0.598 |   0.490 |   1.553 |   0.301 |       0.000 |       0.000 | 1002.297 |   43.394
     Upper |   52 |    486 |   0.628 |   0.483 |   1.518 |   0.313 |       0.000 |       0.000 | 1004.078 |   41.664
     Upper |   53 |    517 |   0.632 |   0.482 |   1.520 |   0.307 |       0.000 |       0.000 | 1002.836 |   43.586
     Upper |   54 |    522 |   0.598 |   0.490 |   1.520 |   0.292 |       0.000 |       0.000 | 1003.100 |   40.978
     Upper |   55 |    455 |   0.651 |   0.477 |   1.525 |   0.297 |       0.000 |       0.000 | 1003.413 |   41.319
     Upper |   56 |    520 |   0.613 |   0.487 |   1.524 |   0.291 |       0.000 |       0.000 | 1002.615 |   37.361
     Upper |   57 |    515 |   0.645 |   0.479 |   1.511 |   0.277 |       0.000 |       0.000 | 1004.208 |   39.698
     Upper |   58 |    486 |   0.609 |   0.488 |   1.534 |   0.279 |       0.000 |       0.000 | 1002.486 |   39.077
     Upper |   59 |    494 |   0.619 |   0.486 |   1.517 |   0.277 |       0.000 |       0.000 | 1002.085 |   37.692
     Upper |   60 |    508 |   0.657 |   0.475 |   1.511 |   0.282 |       0.000 |       0.000 | 1000.043 |   39.130
     Upper |   61 |    479 |   0.618 |   0.486 |   1.509 |   0.278 |       0.000 |       0.000 | 1005.163 |   37.666
     Upper |   62 |    514 |   0.591 |   0.492 |   1.503 |   0.274 |       0.000 |       0.000 | 1001.870 |   39.227
     Upper |   63 |    503 |   0.634 |   0.482 |   1.537 |   0.290 |       0.000 |       0.000 | 1005.280 |   39.125
     Upper |   64 |    497 |   0.660 |   0.474 |   1.502 |   0.254 |       0.000 |       0.000 | 1004.247 |   37.969
     Upper |   65 |    490 |   0.657 |   0.475 |   1.517 |   0.278 |       0.000 |       0.000 | 1004.206 |   38.286
     Upper |   66 |    489 |   0.603 |   0.489 |   1.510 |   0.265 |       0.000 |       0.000 | 1005.186 |   37.691
     Upper |   67 |    493 |   0.637 |   0.481 |   1.491 |   0.262 |       0.000 |       0.000 | 1000.945 |   38.940
     Upper |   68 |    512 |   0.590 |   0.492 |   1.497 |   0.268 |       0.000 |       0.000 | 1002.631 |   36.333
     Upper |   69 |    507 |   0.645 |   0.479 |   1.493 |   0.258 |       0.000 |       0.000 | 1004.957 |   39.278
     Upper |   70 |    508 |   0.638 |   0.481 |   1.512 |   0.248 |       0.000 |       0.000 | 1005.254 |   36.411
     Upper |   71 |    482 |   0.672 |   0.469 |   1.474 |   0.257 |       0.000 |       0.000 | 1005.465 |   38.330
     Upper |   72 |    513 |   0.641 |   0.480 |   1.477 |   0.255 |       0.000 |       0.000 | 1000.813 |   36.084
     Upper |   73 |    492 |   0.610 |   0.488 |   1.501 |   0.247 |       0.000 |       0.000 | 1003.089 |   36.146
     Upper |   74 |    492 |   0.600 |   0.490 |   1.502 |   0.252 |       0.000 |       0.000 | 1005.163 |   35.963
     Upper |   75 |    465 |   0.665 |   0.472 |   1.505 |   0.248 |       0.000 |       0.000 | 1004.284 |   36.420
     Upper |   76 |    531 |   0.655 |   0.475 |   1.480 |   0.260 |       0.000 |       0.000 | 1004.503 |   38.823
     Upper |   77 |    518 |   0.620 |   0.485 |   1.495 |   0.238 |       0.000 |       0.000 | 1004.015 |   35.955
     Upper |   78 |    497 |   0.636 |   0.481 |   1.480 |   0.238 |       0.000 |       0.000 | 1004.543 |   37.367
     Upper |   79 |    463 |   0.605 |   0.489 |   1.492 |   0.235 |       0.000 |       0.000 | 1003.177 |   36.006
     Upper |   80 |    518 |   0.618 |   0.486 |   1.471 |   0.247 |       0.000 |       0.000 | 1002.809 |   35.405
     Upper |   81 |    491 |   0.654 |   0.476 |   1.487 |   0.234 |       0.000 |       0.000 | 1005.888 |   35.896
     Upper |   82 |    487 |   0.610 |   0.488 |   1.468 |   0.232 |       0.000 |       0.000 | 1003.698 |   37.613
     Upper |   83 |    518 |   0.641 |   0.480 |   1.483 |   0.239 |       0.000 |       0.000 | 1004.792 |   37.001
     Upper |   84 |    496 |   0.585 |   0.493 |   1.485 |   0.226 |       0.000 |       0.000 | 1003.290 |   34.648
     Upper |   85 |    500 |   0.690 |   0.462 |   1.484 |   0.219 |       0.000 |       0.000 | 1002.670 |   34.994
     Upper |   86 |    490 |   0.610 |   0.488 |   1.465 |   0.230 |       0.000 |       0.000 | 1003.020 |   35.675
     Upper |   87 |    495 |   0.624 |   0.484 |   1.449 |   0.225 |       0.000 |       0.000 | 1005.984 |   35.371
     Upper |   88 |    510 |   0.592 |   0.491 |   1.476 |   0.231 |       0.000 |       0.000 | 1002.643 |   34.753
     Upper |   89 |    497 |   0.644 |   0.479 |   1.463 |   0.217 |       0.000 |       0.000 | 1004.099 |   33.736
     Upper |   90 |    510 |   0.665 |   0.472 |   1.469 |   0.228 |       0.000 |       0.000 | 1003.176 |   35.277
     Upper |   91 |    509 |   0.609 |   0.488 |   1.464 |   0.215 |       0.000 |       0.000 | 1005.766 |   34.326
     Upper |   92 |    477 |   0.614 |   0.487 |   1.471 |   0.216 |       0.000 |       0.000 | 1000.451 |   34.142
     Upper |   93 |    505 |   0.628 |   0.483 |   1.464 |   0.213 |       0.000 |       0.000 | 1003.147 |   32.295
     Upper |   94 |    463 |   0.622 |   0.485 |   1.480 |   0.217 |       0.000 |       0.000 | 1003.404 |   35.209
     Upper |   95 |    502 |   0.616 |   0.486 |   1.458 |   0.206 |       0.000 |       0.000 | 1000.855 |   35.028
     Upper |   96 |    491 |   0.635 |   0.481 |   1.474 |   0.211 |       0.000 |       0.000 | 1001.760 |   33.962
     Upper |   97 |    481 |   0.655 |   0.475 |   1.453 |   0.205 |       0.000 |       0.000 | 1002.665 |   32.290
     Upper |   98 |    527 |   0.602 |   0.490 |   1.458 |   0.206 |       0.000 |       0.000 | 1000.562 |   33.716
     Upper |   99 |    486 |   0.630 |   0.483 |   1.460 |   0.212 |       0.000 |       0.000 | 1002.541 |   34.799
     Upper |  100 |    491 |   0.642 |   0.480 |   1.457 |   0.210 |       0.000 |       0.000 | 1004.878 |   33.545
     Upper |  101 |    506 |   0.644 |   0.479 |   1.458 |   0.211 |       0.000 |       0.000 | 1001.310 |   33.908
     Upper |  102 |    493 |   0.621 |   0.485 |   1.463 |   0.201 |       0.000 |       0.000 | 1000.903 |   32.685
     Upper |  103 |    483 |   0.623 |   0.485 |   1.467 |   0.204 |       0.000 |       0.000 | 1001.888 |   34.185
