Experiment Results - 20250730_170927
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 2000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    1 |    503 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    2 |    322 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    3 |    396 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   10.000 |    0.000
     Upper |    4 |    394 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   46.000 |    0.000
     Upper |    5 |    376 |   0.968 |   0.176 |     inf |     nan |       0.848 |       0.359 |  276.000 |    0.000
     Upper |    6 |    399 |   0.940 |   0.238 |     inf |     nan |       0.747 |       0.435 |  752.301 |   17.130
     Upper |    7 |    372 |   0.898 |   0.303 |     inf |     nan |       0.583 |       0.493 |  761.073 |   21.257
     Upper |    8 |    355 |   0.887 |   0.316 |   4.563 |     nan |       0.487 |       0.500 |  757.358 |   21.157
     Upper |    9 |    393 |   0.847 |   0.360 |   2.865 |     nan |       0.379 |       0.485 |  757.735 |   21.575
     Upper |   10 |    366 |   0.806 |   0.395 |   2.580 |     nan |       0.221 |       0.415 |  758.060 |   20.906
     Upper |   11 |    365 |   0.792 |   0.406 |   2.394 |     nan |       0.093 |       0.291 |  756.038 |   22.594
     Upper |   12 |    362 |   0.768 |   0.422 |   2.220 |     nan |       0.030 |       0.172 |  757.218 |   20.244
     Upper |   13 |    360 |   0.747 |   0.435 |   2.143 |     nan |       0.003 |       0.053 |  758.417 |   22.440
     Upper |   14 |    427 |   0.745 |   0.436 |   2.127 |   0.904 |       0.000 |       0.000 |  757.117 |   21.783
     Upper |   15 |    363 |   0.736 |   0.441 |   2.065 |   0.897 |       0.000 |       0.000 |  756.030 |   22.962
     Upper |   16 |    386 |   0.736 |   0.441 |   2.011 |   0.787 |       0.000 |       0.000 |  755.446 |   21.472
     Upper |   17 |    379 |   0.728 |   0.445 |   1.954 |   0.788 |       0.000 |       0.000 |  756.222 |   21.851
     Upper |   18 |    370 |   0.708 |   0.455 |   1.935 |   0.656 |       0.000 |       0.000 |  759.246 |   21.464
     Upper |   19 |    401 |   0.766 |   0.424 |   1.863 |   0.652 |       0.000 |       0.000 |  758.045 |   20.644
     Upper |   20 |    361 |   0.704 |   0.457 |   1.884 |   0.663 |       0.000 |       0.000 |  758.152 |   20.277
     Upper |   21 |    378 |   0.693 |   0.461 |   1.843 |   0.636 |       0.000 |       0.000 |  756.328 |   21.593
     Upper |   22 |    402 |   0.699 |   0.459 |   1.775 |   0.592 |       0.000 |       0.000 |  759.706 |   21.169
     Upper |   23 |    372 |   0.742 |   0.438 |   1.806 |   0.559 |       0.000 |       0.000 |  755.398 |   21.595
     Upper |   24 |    385 |   0.706 |   0.455 |   1.767 |   0.546 |       0.000 |       0.000 |  759.106 |   22.321
     Upper |   25 |    377 |   0.711 |   0.453 |   1.751 |   0.537 |       0.000 |       0.000 |  758.305 |   21.084
     Upper |   26 |    392 |   0.643 |   0.479 |   1.710 |   0.467 |       0.000 |       0.000 |  756.194 |   21.350
     Upper |   27 |    383 |   0.695 |   0.461 |   1.725 |   0.507 |       0.000 |       0.000 |  756.598 |   21.817
     Upper |   28 |    373 |   0.684 |   0.465 |   1.767 |   0.444 |       0.000 |       0.000 |  759.834 |   21.860
     Upper |   29 |    363 |   0.691 |   0.462 |   1.670 |   0.476 |       0.000 |       0.000 |  758.433 |   21.171
     Upper |   30 |    400 |   0.693 |   0.461 |   1.691 |   0.469 |       0.000 |       0.000 |  754.763 |   20.717
     Upper |   31 |    383 |   0.692 |   0.462 |   1.732 |   0.425 |       0.000 |       0.000 |  757.616 |   22.110
     Upper |   32 |    376 |   0.715 |   0.451 |   1.656 |   0.461 |       0.000 |       0.000 |  757.258 |   21.894
     Upper |   33 |    391 |   0.668 |   0.471 |   1.652 |   0.407 |       0.000 |       0.000 |  757.130 |   21.954
     Upper |   34 |    383 |   0.689 |   0.463 |   1.666 |   0.470 |       0.000 |       0.000 |  756.013 |   21.411
     Upper |   35 |    361 |   0.681 |   0.466 |   1.631 |   0.395 |       0.000 |       0.000 |  756.227 |   20.877
     Upper |   36 |    369 |   0.610 |   0.488 |   1.684 |   0.402 |       0.000 |       0.000 |  758.022 |   20.896
     Upper |   37 |    378 |   0.738 |   0.440 |   1.654 |   0.415 |       0.000 |       0.000 |  757.497 |   22.306
     Upper |   38 |    377 |   0.650 |   0.477 |   1.570 |   0.402 |       0.000 |       0.000 |  756.186 |   22.203
     Upper |   39 |    368 |   0.701 |   0.458 |   1.642 |   0.381 |       0.000 |       0.000 |  755.307 |   22.004
     Upper |   40 |    367 |   0.657 |   0.475 |   1.612 |   0.384 |       0.000 |       0.000 |  756.676 |   21.519
     Upper |   41 |    368 |   0.647 |   0.478 |   1.577 |   0.370 |       0.000 |       0.000 |  757.470 |   20.670
     Upper |   42 |    370 |   0.678 |   0.467 |   1.591 |   0.362 |       0.000 |       0.000 |  757.443 |   20.954
     Upper |   43 |    395 |   0.628 |   0.483 |   1.592 |   0.371 |       0.000 |       0.000 |  757.116 |   20.861
     Upper |   44 |    396 |   0.664 |   0.472 |   1.593 |   0.360 |       0.000 |       0.000 |  756.588 |   21.694
     Upper |   45 |    361 |   0.601 |   0.490 |   1.574 |   0.343 |       0.000 |       0.000 |  756.266 |   22.798
     Upper |   46 |    373 |   0.654 |   0.476 |   1.571 |   0.358 |       0.000 |       0.000 |  757.906 |   21.575
     Upper |   47 |    367 |   0.629 |   0.483 |   1.565 |   0.357 |       0.000 |       0.000 |  758.360 |   20.647
     Upper |   48 |    384 |   0.669 |   0.470 |   1.569 |   0.357 |       0.000 |       0.000 |  757.596 |   20.928
     Upper |   49 |    346 |   0.621 |   0.485 |   1.544 |   0.311 |       0.000 |       0.000 |  755.934 |   21.603
     Upper |   50 |    386 |   0.640 |   0.480 |   1.541 |   0.326 |       0.000 |       0.000 |  756.293 |   22.010
     Upper |   51 |    387 |   0.597 |   0.491 |   1.577 |   0.342 |       0.000 |       0.000 |  757.884 |   22.747
     Upper |   52 |    370 |   0.646 |   0.478 |   1.531 |   0.324 |       0.000 |       0.000 |  756.457 |   21.858
     Upper |   53 |    407 |   0.627 |   0.484 |   1.558 |   0.325 |       0.000 |       0.000 |  757.479 |   22.341
     Upper |   54 |    404 |   0.592 |   0.492 |   1.526 |   0.327 |       0.000 |       0.000 |  756.936 |   21.859
     Upper |   55 |    336 |   0.658 |   0.474 |   1.584 |   0.326 |       0.000 |       0.000 |  756.402 |   21.362
     Upper |   56 |    388 |   0.619 |   0.486 |   1.528 |   0.307 |       0.000 |       0.000 |  757.387 |   19.936
     Upper |   57 |    402 |   0.652 |   0.476 |   1.546 |   0.304 |       0.000 |       0.000 |  759.495 |   22.410
     Upper |   58 |    357 |   0.641 |   0.480 |   1.579 |   0.297 |       0.000 |       0.000 |  755.451 |   22.715
     Upper |   59 |    385 |   0.631 |   0.482 |   1.538 |   0.295 |       0.000 |       0.000 |  755.371 |   20.274
     Upper |   60 |    393 |   0.662 |   0.473 |   1.529 |   0.311 |       0.000 |       0.000 |  754.898 |   21.421
     Upper |   61 |    367 |   0.616 |   0.486 |   1.554 |   0.286 |       0.000 |       0.000 |  756.864 |   20.925
     Upper |   62 |    384 |   0.589 |   0.492 |   1.531 |   0.289 |       0.000 |       0.000 |  755.573 |   20.707
     Upper |   63 |    406 |   0.648 |   0.478 |   1.530 |   0.310 |       0.000 |       0.000 |  754.961 |   21.762
     Upper |   64 |    371 |   0.642 |   0.480 |   1.524 |   0.269 |       0.000 |       0.000 |  757.550 |   23.738
     Upper |   65 |    375 |   0.685 |   0.464 |   1.535 |   0.307 |       0.000 |       0.000 |  758.389 |   21.588
     Upper |   66 |    367 |   0.619 |   0.486 |   1.516 |   0.283 |       0.000 |       0.000 |  755.629 |   21.748
     Upper |   67 |    362 |   0.624 |   0.484 |   1.507 |   0.286 |       0.000 |       0.000 |  757.530 |   20.334
     Upper |   68 |    388 |   0.588 |   0.492 |   1.527 |   0.288 |       0.000 |       0.000 |  755.637 |   20.845
     Upper |   69 |    385 |   0.636 |   0.481 |   1.503 |   0.277 |       0.000 |       0.000 |  758.096 |   21.052
     Upper |   70 |    386 |   0.637 |   0.481 |   1.544 |   0.272 |       0.000 |       0.000 |  757.951 |   20.869
     Upper |   71 |    351 |   0.684 |   0.465 |   1.516 |   0.285 |       0.000 |       0.000 |  755.997 |   23.661
     Upper |   72 |    371 |   0.617 |   0.486 |   1.519 |   0.268 |       0.000 |       0.000 |  754.954 |   23.271
     Upper |   73 |    365 |   0.586 |   0.492 |   1.531 |   0.264 |       0.000 |       0.000 |  759.362 |   22.290
     Upper |   74 |    385 |   0.592 |   0.491 |   1.526 |   0.266 |       0.000 |       0.000 |  755.545 |   21.363
     Upper |   75 |    358 |   0.673 |   0.469 |   1.517 |   0.266 |       0.000 |       0.000 |  755.732 |   21.813
     Upper |   76 |    402 |   0.674 |   0.469 |   1.528 |   0.279 |       0.000 |       0.000 |  757.567 |   21.041
     Upper |   77 |    402 |   0.642 |   0.479 |   1.516 |   0.250 |       0.000 |       0.000 |  757.333 |   20.875
     Upper |   78 |    356 |   0.657 |   0.475 |   1.512 |   0.265 |       0.000 |       0.000 |  759.677 |   20.765
     Upper |   79 |    356 |   0.567 |   0.495 |   1.517 |   0.257 |       0.000 |       0.000 |  756.289 |   22.383
     Upper |   80 |    384 |   0.607 |   0.488 |   1.482 |   0.246 |       0.000 |       0.000 |  758.279 |   21.571
     Upper |   81 |    383 |   0.663 |   0.473 |   1.523 |   0.249 |       0.000 |       0.000 |  758.123 |   21.465
     Upper |   82 |    361 |   0.612 |   0.487 |   1.512 |   0.252 |       0.000 |       0.000 |  759.548 |   21.174
     Upper |   83 |    371 |   0.631 |   0.483 |   1.504 |   0.249 |       0.000 |       0.000 |  756.655 |   20.976
     Upper |   84 |    375 |   0.592 |   0.491 |   1.502 |   0.249 |       0.000 |       0.000 |  756.091 |   21.436
     Upper |   85 |    381 |   0.698 |   0.459 |   1.500 |   0.237 |       0.000 |       0.000 |  757.018 |   21.751
     Upper |   86 |    356 |   0.612 |   0.487 |   1.481 |   0.257 |       0.000 |       0.000 |  756.961 |   22.415
     Upper |   87 |    375 |   0.621 |   0.485 |   1.475 |   0.247 |       0.000 |       0.000 |  756.451 |   20.830
     Upper |   88 |    388 |   0.613 |   0.487 |   1.512 |   0.248 |       0.000 |       0.000 |  757.825 |   21.342
     Upper |   89 |    354 |   0.633 |   0.482 |   1.514 |   0.234 |       0.000 |       0.000 |  757.992 |   21.769
     Upper |   90 |    397 |   0.660 |   0.474 |   1.492 |   0.230 |       0.000 |       0.000 |  756.166 |   21.599
     Upper |   91 |    385 |   0.623 |   0.485 |   1.517 |   0.228 |       0.000 |       0.000 |  756.496 |   23.038
     Upper |   92 |    361 |   0.618 |   0.486 |   1.497 |   0.239 |       0.000 |       0.000 |  756.637 |   22.560
     Upper |   93 |    384 |   0.620 |   0.485 |   1.496 |   0.241 |       0.000 |       0.000 |  755.169 |   21.356
     Upper |   94 |    347 |   0.622 |   0.485 |   1.492 |   0.220 |       0.000 |       0.000 |  756.697 |   20.577
     Upper |   95 |    392 |   0.597 |   0.491 |   1.481 |   0.226 |       0.000 |       0.000 |  756.957 |   20.734
     Upper |   96 |    386 |   0.635 |   0.482 |   1.510 |   0.222 |       0.000 |       0.000 |  758.523 |   20.551
     Upper |   97 |    362 |   0.652 |   0.476 |   1.464 |   0.219 |       0.000 |       0.000 |  758.000 |   22.532
     Upper |   98 |    407 |   0.609 |   0.488 |   1.474 |   0.227 |       0.000 |       0.000 |  757.813 |   21.919
     Upper |   99 |    381 |   0.643 |   0.479 |   1.492 |   0.220 |       0.000 |       0.000 |  755.184 |   21.926
     Upper |  100 |    374 |   0.668 |   0.471 |   1.496 |   0.226 |       0.000 |       0.000 |  755.120 |   22.735
     Upper |  101 |    393 |   0.664 |   0.472 |   1.476 |   0.227 |       0.000 |       0.000 |  755.751 |   22.903
     Upper |  102 |    379 |   0.636 |   0.481 |   1.497 |   0.205 |       0.000 |       0.000 |  756.813 |   21.130
     Upper |  103 |    383 |   0.629 |   0.483 |   1.488 |   0.224 |       0.000 |       0.000 |  759.616 |   22.115
     Upper |  104 |    385 |   0.623 |   0.485 |   1.464 |   0.219 |       0.000 |       0.000 |  756.532 |   21.734
