method,n_online,run_id,t,is_covered,length,is_inf,cal_size,selected_total
upper,50,0,1,0,0.7165443203299073,0,430.0,22
upper,50,0,2,1,0.7386441157086181,0,442.0,22
upper,50,0,3,1,0.7386441157086181,0,451.0,22
upper,50,0,11,1,0.7386441157086181,0,426.0,22
upper,50,0,13,1,0.7165443203299073,0,431.0,22
upper,50,0,15,1,0.5019683423136376,0,420.0,22
upper,50,0,18,0,0.7165443203299073,0,423.0,22
upper,50,0,19,1,0.7165443203299073,0,421.0,22
upper,50,0,20,1,0.7165443203299073,0,432.0,22
upper,50,0,21,1,0.7165443203299073,0,449.0,22
upper,50,0,25,0,0.7165443203299073,0,433.0,22
upper,50,0,31,0,0.7165443203299073,0,423.0,22
upper,50,0,32,1,0.7386441157086181,0,425.0,22
upper,50,0,34,0,0.5376052303306835,0,425.0,22
upper,50,0,35,0,0.5376052303306835,0,457.0,22
upper,50,0,36,1,0.7386441157086181,0,445.0,22
upper,50,0,39,1,0.7386441157086181,0,473.0,22
upper,50,0,41,0,0.7165443203299073,0,499.0,22
upper,50,0,43,0,0.7165443203299073,0,440.0,22
upper,50,0,44,1,0.7386441157086181,0,491.0,22
upper,50,0,46,1,0.7165443203299073,0,502.0,22
upper,50,0,48,1,0.7386441157086181,0,493.0,22
upper,50,3,0,1,0.4155791932079098,0,455.0,25
upper,50,3,1,1,0.4155791932079098,0,529.0,25
upper,50,3,4,0,0.4155791932079098,0,491.0,25
upper,50,3,5,1,0.4205132795944446,0,484.0,25
upper,50,3,6,0,0.4155791932079098,0,521.0,25
upper,50,3,7,1,0.4155791932079098,0,521.0,25
upper,50,3,9,1,0.4205132795944446,0,544.0,25
upper,50,3,10,1,0.4155791932079098,0,546.0,25
upper,50,3,11,0,0.41536504689533027,0,528.0,25
upper,50,3,12,1,0.4155791932079098,0,542.0,25
upper,50,3,16,0,0.4155791932079098,0,551.0,25
upper,50,3,19,0,0.4205132795944446,0,528.0,25
upper,50,3,20,1,0.6356746447650362,0,501.0,25
upper,50,3,22,1,0.4205132795944446,0,544.0,25
upper,50,3,23,1,0.6356746447650363,0,561.0,25
upper,50,3,26,1,0.4205132795944446,0,536.0,25
upper,50,3,28,1,0.4205132795944446,0,529.0,25
upper,50,3,30,0,0.4155791932079098,0,532.0,25
upper,50,3,31,1,0.4205132795944446,0,539.0,25
upper,50,3,34,1,0.4155791932079098,0,527.0,25
upper,50,3,36,0,0.4155791932079098,0,537.0,25
upper,50,3,39,1,0.4205132795944446,0,536.0,25
upper,50,3,44,0,0.41536504689533027,0,501.0,25
upper,50,3,47,1,0.4205132795944446,0,510.0,25
upper,50,3,49,0,0.4155791932079098,0,504.0,25
upper,50,4,3,1,1.166080874144793,0,444.0,24
upper,50,4,5,1,1.166080874144793,0,438.0,24
upper,50,4,7,1,1.1603321400220432,0,449.0,24
upper,50,4,11,0,1.166080874144793,0,432.0,24
upper,50,4,12,0,1.166080874144793,0,446.0,24
upper,50,4,15,0,1.3253885655851736,0,491.0,24
upper,50,4,18,1,1.3253885655851736,0,472.0,24
upper,50,4,23,1,1.3253885655851736,0,455.0,24
upper,50,4,24,1,1.166080874144793,0,471.0,24
upper,50,4,25,1,1.2574780566556711,0,474.0,24
upper,50,4,26,0,1.3253885655851736,0,460.0,24
upper,50,4,28,1,1.2574780566556711,0,454.0,24
upper,50,4,29,1,1.2574780566556711,0,465.0,24
upper,50,4,30,0,1.166080874144793,0,481.0,24
upper,50,4,34,1,1.3253885655851736,0,489.0,24
upper,50,4,36,0,1.2574780566556716,0,491.0,24
upper,50,4,38,1,1.3253885655851736,0,491.0,24
upper,50,4,39,1,1.3253885655851736,0,499.0,24
upper,50,4,42,0,1.3253885655851736,0,487.0,24
upper,50,4,43,1,1.2574780566556711,0,516.0,24
upper,50,4,44,1,1.3253885655851736,0,499.0,24
upper,50,4,45,1,1.3253885655851736,0,514.0,24
