Experiment Results - 20250729_233517
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    0 |    484 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    1 |    489 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    1.043 |    0.999
     Upper |    2 |    491 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    3.470 |    2.293
     Upper |    3 |    497 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   13.907 |    6.965
     Upper |    4 |    482 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   69.411 |   28.931
     Upper |    5 |    506 |   0.996 |   0.063 |     inf |     nan |       0.974 |       0.158 |  419.684 |  139.343
     Upper |    6 |    506 |   0.937 |   0.243 |     inf |     nan |       0.779 |       0.415 |  564.364 |  183.129
     Upper |    7 |    514 |   0.949 |   0.219 |     inf |     nan |       0.626 |       0.484 |  569.827 |  169.938
     Upper |    8 |    535 |   0.914 |   0.280 |   3.041 |     nan |       0.473 |       0.499 |  562.314 |  165.909
     Upper |    9 |    492 |   0.915 |   0.279 |   2.277 |     nan |       0.404 |       0.491 |  555.189 |  162.283
     Upper |   10 |    504 |   0.867 |   0.340 |   1.782 |     nan |       0.256 |       0.436 |  558.619 |  154.321
     Upper |   11 |    514 |   0.870 |   0.337 |   1.539 |     nan |       0.161 |       0.368 |  555.922 |  147.466
     Upper |   12 |    526 |   0.817 |   0.386 |   1.380 |     nan |       0.112 |       0.316 |  549.857 |  134.913
     Upper |   13 |    528 |   0.814 |   0.389 |   1.302 |     nan |       0.089 |       0.285 |  552.163 |  136.152
     Upper |   14 |    488 |   0.781 |   0.414 |   1.319 |     nan |       0.066 |       0.248 |  553.514 |  132.844
     Upper |   15 |    507 |   0.793 |   0.405 |   1.208 |     nan |       0.037 |       0.190 |  557.659 |  131.526
     Upper |   16 |    505 |   0.778 |   0.415 |   1.186 |     nan |       0.030 |       0.170 |  549.768 |  125.742
     Upper |   17 |    511 |   0.775 |   0.418 |   1.157 |     nan |       0.014 |       0.116 |  545.481 |  123.250
     Upper |   18 |    535 |   0.778 |   0.416 |   1.136 |     nan |       0.024 |       0.154 |  541.849 |  126.011
     Upper |   19 |    504 |   0.756 |   0.430 |   1.139 |     nan |       0.016 |       0.125 |  549.468 |  125.260
     Upper |   20 |    537 |   0.708 |   0.455 |   1.090 |     nan |       0.004 |       0.061 |  546.350 |  122.154
     Upper |   21 |    540 |   0.735 |   0.441 |   1.100 |     nan |       0.004 |       0.061 |  537.409 |  113.745
     Upper |   22 |    513 |   0.721 |   0.448 |   1.077 |   0.420 |       0.000 |       0.000 |  550.924 |  106.508
     Upper |   23 |    535 |   0.740 |   0.439 |   1.044 |   0.386 |       0.000 |       0.000 |  549.271 |  108.099
     Upper |   24 |    546 |   0.738 |   0.440 |   1.043 |   0.370 |       0.000 |       0.000 |  549.238 |  106.505
     Upper |   25 |    526 |   0.700 |   0.458 |   0.998 |   0.350 |       0.000 |       0.000 |  546.650 |  106.934
     Upper |   26 |    507 |   0.686 |   0.464 |   1.003 |   0.343 |       0.000 |       0.000 |  544.075 |   99.616
     Upper |   27 |    538 |   0.693 |   0.461 |   0.998 |   0.321 |       0.000 |       0.000 |  554.316 |  100.055
     Upper |   28 |    536 |   0.666 |   0.472 |   0.972 |   0.336 |       0.000 |       0.000 |  553.284 |  101.289
     Upper |   29 |    555 |   0.674 |   0.469 |   0.989 |   0.311 |       0.000 |       0.000 |  552.231 |   98.031
     Upper |   30 |    540 |   0.672 |   0.469 |   0.988 |   0.314 |       0.000 |       0.000 |  552.535 |   97.257
     Upper |   31 |    531 |   0.702 |   0.457 |   0.952 |   0.306 |       0.000 |       0.000 |  553.497 |   97.782
     Upper |   32 |    557 |   0.691 |   0.462 |   0.952 |   0.281 |       0.000 |       0.000 |  551.650 |   96.429
     Upper |   33 |    545 |   0.661 |   0.474 |   0.944 |   0.302 |       0.000 |       0.000 |  558.791 |   92.741
