Experiment Results - 20250818_220918
==================================================
n_online_list: [50]
n_offline: 50
n_runs: 100
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    0 |     43 |   0.651 |   0.477 |   0.828 |   0.209 |       0.000 |       0.000 |  520.605 |   70.044
     Upper |    1 |     41 |   0.805 |   0.396 |   0.839 |   0.218 |       0.000 |       0.000 |  521.780 |   61.202
     Upper |    2 |     49 |   0.755 |   0.430 |   0.834 |   0.188 |       0.000 |       0.000 |  523.633 |   70.216
     Upper |    3 |     54 |   0.685 |   0.464 |   0.855 |   0.237 |       0.000 |       0.000 |  517.259 |   66.221
     Upper |    4 |     46 |   0.543 |   0.498 |   0.851 |   0.247 |       0.000 |       0.000 |  513.043 |   73.528
     Upper |    5 |     50 |   0.700 |   0.458 |   0.842 |   0.202 |       0.000 |       0.000 |  529.880 |   73.382
     Upper |    6 |     44 |   0.795 |   0.403 |   0.859 |   0.226 |       0.000 |       0.000 |  530.705 |   74.872
     Upper |    7 |     52 |   0.750 |   0.433 |   0.827 |   0.188 |       0.000 |       0.000 |  535.500 |   73.994
     Upper |    8 |     54 |   0.611 |   0.487 |   0.832 |   0.228 |       0.000 |       0.000 |  524.389 |   82.589
     Upper |    9 |     50 |   0.620 |   0.485 |   0.829 |   0.206 |       0.000 |       0.000 |  522.740 |   65.748
     Upper |   10 |     52 |   0.673 |   0.469 |   0.839 |   0.218 |       0.000 |       0.000 |  534.615 |   79.694
     Upper |   11 |     54 |   0.722 |   0.448 |   0.842 |   0.220 |       0.000 |       0.000 |  534.815 |   78.765
     Upper |   12 |     54 |   0.741 |   0.438 |   0.858 |   0.238 |       0.000 |       0.000 |  540.444 |   74.643
     Upper |   13 |     55 |   0.600 |   0.490 |   0.838 |   0.233 |       0.000 |       0.000 |  537.600 |   76.366
     Upper |   14 |     50 |   0.700 |   0.458 |   0.857 |   0.220 |       0.000 |       0.000 |  540.940 |   83.068
     Upper |   15 |     51 |   0.745 |   0.436 |   0.856 |   0.229 |       0.000 |       0.000 |  515.863 |   86.974
     Upper |   16 |     46 |   0.630 |   0.483 |   0.820 |   0.205 |       0.000 |       0.000 |  524.000 |   83.177
     Upper |   17 |     56 |   0.714 |   0.452 |   0.835 |   0.218 |       0.000 |       0.000 |  540.446 |   74.038
     Upper |   18 |     48 |   0.688 |   0.464 |   0.846 |   0.196 |       0.000 |       0.000 |  528.625 |   81.146
     Upper |   19 |     63 |   0.762 |   0.426 |   0.853 |   0.220 |       0.000 |       0.000 |  533.333 |   87.163
     Upper |   20 |     61 |   0.623 |   0.485 |   0.815 |   0.219 |       0.000 |       0.000 |  523.885 |   82.033
     Upper |   21 |     56 |   0.750 |   0.433 |   0.855 |   0.222 |       0.000 |       0.000 |  541.768 |   77.664
     Upper |   22 |     54 |   0.741 |   0.438 |   0.829 |   0.199 |       0.000 |       0.000 |  552.148 |   75.581
     Upper |   23 |     57 |   0.772 |   0.420 |   0.859 |   0.212 |       0.000 |       0.000 |  535.246 |   78.739
     Upper |   24 |     46 |   0.674 |   0.469 |   0.847 |   0.214 |       0.000 |       0.000 |  551.543 |   72.232
     Upper |   25 |     50 |   0.580 |   0.494 |   0.871 |   0.231 |       0.000 |       0.000 |  535.040 |   85.430
     Upper |   26 |     54 |   0.593 |   0.491 |   0.855 |   0.232 |       0.000 |       0.000 |  536.722 |   85.497
     Upper |   27 |     49 |   0.653 |   0.476 |   0.868 |   0.194 |       0.000 |       0.000 |  557.918 |   72.250
     Upper |   28 |     56 |   0.625 |   0.484 |   0.877 |   0.244 |       0.000 |       0.000 |  551.054 |   69.987
     Upper |   29 |     62 |   0.710 |   0.454 |   0.855 |   0.233 |       0.000 |       0.000 |  545.742 |   75.424
     Upper |   30 |     51 |   0.686 |   0.464 |   0.885 |   0.237 |       0.000 |       0.000 |  556.529 |   75.729
     Upper |   31 |     52 |   0.615 |   0.487 |   0.856 |   0.227 |       0.000 |       0.000 |  567.577 |   78.532
     Upper |   32 |     56 |   0.661 |   0.473 |   0.837 |   0.205 |       0.000 |       0.000 |  561.714 |   82.606
     Upper |   33 |     49 |   0.633 |   0.482 |   0.815 |   0.179 |       0.000 |       0.000 |  563.694 |   79.000
     Upper |   34 |     61 |   0.721 |   0.448 |   0.829 |   0.231 |       0.000 |       0.000 |  549.115 |   78.880
     Upper |   35 |     54 |   0.574 |   0.494 |   0.848 |   0.218 |       0.000 |       0.000 |  564.556 |   77.177
     Upper |   36 |     53 |   0.623 |   0.485 |   0.827 |   0.225 |       0.000 |       0.000 |  560.849 |   75.400
     Upper |   37 |     64 |   0.672 |   0.470 |   0.856 |   0.201 |       0.000 |       0.000 |  561.062 |   78.730
     Upper |   38 |     46 |   0.652 |   0.476 |   0.901 |   0.238 |       0.000 |       0.000 |  556.761 |   78.411
     Upper |   39 |     59 |   0.593 |   0.491 |   0.886 |   0.215 |       0.000 |       0.000 |  569.983 |   67.840
     Upper |   40 |     60 |   0.600 |   0.490 |   0.817 |   0.232 |       0.000 |       0.000 |  567.167 |   77.556
     Upper |   41 |     54 |   0.574 |   0.494 |   0.805 |   0.179 |       0.000 |       0.000 |  563.185 |   88.413
     Upper |   42 |     55 |   0.600 |   0.490 |   0.842 |   0.210 |       0.000 |       0.000 |  572.764 |   80.674
     Upper |   43 |     50 |   0.600 |   0.490 |   0.903 |   0.233 |       0.000 |       0.000 |  560.280 |   84.285
     Upper |   44 |     56 |   0.643 |   0.479 |   0.879 |   0.199 |       0.000 |       0.000 |  575.661 |   77.522
     Upper |   45 |     56 |   0.571 |   0.495 |   0.884 |   0.202 |       0.000 |       0.000 |  579.696 |   78.581
     Upper |   46 |     47 |   0.745 |   0.436 |   0.885 |   0.225 |       0.000 |       0.000 |  590.170 |   81.078
     Upper |   47 |     57 |   0.632 |   0.482 |   0.907 |   0.248 |       0.000 |       0.000 |  574.614 |   70.891
     Upper |   48 |     60 |   0.550 |   0.497 |   0.841 |   0.200 |       0.000 |       0.000 |  587.317 |   67.071
     Upper |   49 |     64 |   0.656 |   0.475 |   0.852 |   0.221 |       0.000 |       0.000 |  582.062 |   72.765
 Randomize |    0 |     43 |   0.651 |   0.477 |   0.705 |   0.221 |       0.000 |       0.000 |  520.605 |   70.044
 Randomize |    1 |     41 |   0.780 |   0.414 |   0.766 |   0.196 |       0.000 |       0.000 |  521.829 |   61.229
 Randomize |    2 |     49 |   0.673 |   0.469 |   0.731 |   0.189 |       0.000 |       0.000 |  523.714 |   70.265
 Randomize |    3 |     54 |   0.574 |   0.494 |   0.773 |   0.236 |       0.000 |       0.000 |  517.185 |   66.080
 Randomize |    4 |     46 |   0.500 |   0.500 |   0.765 |   0.225 |       0.000 |       0.000 |  513.152 |   73.492
 Randomize |    5 |     50 |   0.660 |   0.474 |   0.774 |   0.212 |       0.000 |       0.000 |  530.080 |   73.464
 Randomize |    6 |     44 |   0.750 |   0.433 |   0.820 |   0.213 |       0.000 |       0.000 |  530.614 |   74.843
 Randomize |    7 |     52 |   0.731 |   0.444 |   0.773 |   0.188 |       0.000 |       0.000 |  535.635 |   73.930
 Randomize |    8 |     54 |   0.593 |   0.491 |   0.735 |   0.209 |       0.000 |       0.000 |  524.537 |   82.788
 Randomize |    9 |     50 |   0.520 |   0.500 |   0.768 |   0.215 |       0.000 |       0.000 |  522.940 |   65.664
 Randomize |   10 |     52 |   0.654 |   0.476 |   0.782 |   0.214 |       0.000 |       0.000 |  534.231 |   79.864
 Randomize |   11 |     54 |   0.704 |   0.457 |   0.817 |   0.219 |       0.000 |       0.000 |  534.556 |   79.042
 Randomize |   12 |     54 |   0.722 |   0.448 |   0.837 |   0.216 |       0.000 |       0.000 |  540.463 |   74.895
 Randomize |   13 |     55 |   0.564 |   0.496 |   0.759 |   0.215 |       0.000 |       0.000 |  537.418 |   76.171
 Randomize |   14 |     50 |   0.680 |   0.466 |   0.814 |   0.218 |       0.000 |       0.000 |  540.560 |   83.193
 Randomize |   15 |     51 |   0.725 |   0.446 |   0.815 |   0.197 |       0.000 |       0.000 |  516.353 |   86.627
 Randomize |   16 |     46 |   0.609 |   0.488 |   0.765 |   0.195 |       0.000 |       0.000 |  523.957 |   83.263
 Randomize |   17 |     56 |   0.714 |   0.452 |   0.752 |   0.213 |       0.000 |       0.000 |  540.607 |   74.132
 Randomize |   18 |     48 |   0.646 |   0.478 |   0.806 |   0.199 |       0.000 |       0.000 |  528.771 |   81.360
 Randomize |   19 |     63 |   0.746 |   0.435 |   0.764 |   0.209 |       0.000 |       0.000 |  533.381 |   87.063
 Randomize |   20 |     61 |   0.557 |   0.497 |   0.792 |   0.214 |       0.000 |       0.000 |  523.787 |   81.849
 Randomize |   21 |     56 |   0.696 |   0.460 |   0.811 |   0.226 |       0.000 |       0.000 |  541.446 |   77.649
 Randomize |   22 |     54 |   0.741 |   0.438 |   0.798 |   0.204 |       0.000 |       0.000 |  552.259 |   75.659
 Randomize |   23 |     57 |   0.737 |   0.440 |   0.827 |   0.215 |       0.000 |       0.000 |  535.281 |   78.836
 Randomize |   24 |     46 |   0.674 |   0.469 |   0.838 |   0.198 |       0.000 |       0.000 |  551.761 |   72.608
 Randomize |   25 |     50 |   0.580 |   0.494 |   0.831 |   0.224 |       0.000 |       0.000 |  535.240 |   85.262
 Randomize |   26 |     54 |   0.537 |   0.499 |   0.790 |   0.213 |       0.000 |       0.000 |  536.556 |   85.514
 Randomize |   27 |     49 |   0.633 |   0.482 |   0.788 |   0.205 |       0.000 |       0.000 |  557.469 |   72.056
 Randomize |   28 |     56 |   0.607 |   0.488 |   0.817 |   0.209 |       0.000 |       0.000 |  551.304 |   69.712
 Randomize |   29 |     62 |   0.710 |   0.454 |   0.817 |   0.216 |       0.000 |       0.000 |  545.903 |   75.343
 Randomize |   30 |     51 |   0.686 |   0.464 |   0.807 |   0.220 |       0.000 |       0.000 |  556.804 |   75.862
 Randomize |   31 |     52 |   0.596 |   0.491 |   0.832 |   0.209 |       0.000 |       0.000 |  567.692 |   78.442
 Randomize |   32 |     56 |   0.661 |   0.473 |   0.782 |   0.198 |       0.000 |       0.000 |  561.464 |   82.517
 Randomize |   33 |     49 |   0.551 |   0.497 |   0.787 |   0.173 |       0.000 |       0.000 |  563.878 |   78.676
 Randomize |   34 |     61 |   0.656 |   0.475 |   0.766 |   0.196 |       0.000 |       0.000 |  549.033 |   78.849
 Randomize |   35 |     54 |   0.556 |   0.497 |   0.811 |   0.223 |       0.000 |       0.000 |  564.519 |   77.398
 Randomize |   36 |     53 |   0.585 |   0.493 |   0.792 |   0.227 |       0.000 |       0.000 |  560.472 |   75.202
 Randomize |   37 |     64 |   0.641 |   0.480 |   0.806 |   0.198 |       0.000 |       0.000 |  560.984 |   78.575
 Randomize |   38 |     46 |   0.609 |   0.488 |   0.828 |   0.241 |       0.000 |       0.000 |  556.391 |   78.389
 Randomize |   39 |     59 |   0.576 |   0.494 |   0.803 |   0.197 |       0.000 |       0.000 |  570.102 |   67.734
 Randomize |   40 |     60 |   0.567 |   0.496 |   0.781 |   0.203 |       0.000 |       0.000 |  567.150 |   77.833
 Randomize |   41 |     54 |   0.556 |   0.497 |   0.780 |   0.166 |       0.000 |       0.000 |  563.222 |   88.217
 Randomize |   42 |     55 |   0.582 |   0.493 |   0.794 |   0.196 |       0.000 |       0.000 |  572.564 |   80.651
 Randomize |   43 |     50 |   0.560 |   0.496 |   0.812 |   0.229 |       0.000 |       0.000 |  560.480 |   84.155
 Randomize |   44 |     56 |   0.571 |   0.495 |   0.818 |   0.205 |       0.000 |       0.000 |  575.482 |   77.609
 Randomize |   45 |     56 |   0.571 |   0.495 |   0.836 |   0.202 |       0.000 |       0.000 |  579.536 |   78.404
 Randomize |   46 |     47 |   0.745 |   0.436 |   0.837 |   0.234 |       0.000 |       0.000 |  589.979 |   80.849
 Randomize |   47 |     57 |   0.632 |   0.482 |   0.856 |   0.239 |       0.000 |       0.000 |  574.754 |   71.248
 Randomize |   48 |     60 |   0.500 |   0.500 |   0.786 |   0.196 |       0.000 |       0.000 |  587.267 |   67.282
 Randomize |   49 |     64 |   0.641 |   0.480 |   0.833 |   0.221 |       0.000 |       0.000 |  581.922 |   72.812
