method,n_online,run_id,t,is_covered,length,is_inf,cal_size,selected_total
upper,100,1,1,1,inf,1,1.0,37
upper,100,1,3,1,inf,1,10.0,37
upper,100,1,4,1,inf,1,44.0,37
upper,100,1,6,1,inf,1,409.0,37
upper,100,1,10,1,inf,1,321.0,37
upper,100,1,13,1,2.009980538252859,0,355.0,37
upper,100,1,15,1,1.7457966127605498,0,322.0,37
upper,100,1,19,1,1.4888696840230065,0,333.0,37
upper,100,1,20,1,1.69715744903107,0,346.0,37
upper,100,1,22,1,1.473342028215734,0,320.0,37
upper,100,1,23,1,1.4888696840230065,0,356.0,37
upper,100,1,25,1,1.4888696840230065,0,369.0,37
upper,100,1,29,0,1.4888696840230065,0,349.0,37
upper,100,1,30,1,1.4888696840230065,0,357.0,37
upper,100,1,32,0,1.4888696840230065,0,353.0,37
upper,100,1,40,1,1.4578143724084611,0,333.0,37
upper,100,1,41,0,1.4578143724084613,0,341.0,37
upper,100,1,44,1,1.4888696840230065,0,342.0,37
upper,100,1,47,0,1.4578143724084611,0,354.0,37
upper,100,1,53,0,1.702947874795141,0,336.0,37
upper,100,1,56,0,1.7000526619131056,0,345.0,37
upper,100,1,62,1,1.4801174871680831,0,340.0,37
upper,100,1,63,1,1.4067497826256845,0,336.0,37
upper,100,1,64,1,1.5313146849633545,0,336.0,37
upper,100,1,67,0,1.4194687337919643,0,338.0,37
upper,100,1,68,0,1.4490939081191054,0,364.0,37
upper,100,1,72,1,1.4888696840230065,0,332.0,37
upper,100,1,74,1,1.386345286318087,0,347.0,37
upper,100,1,76,1,1.5100921844931805,0,356.0,37
upper,100,1,77,0,1.4490939081191054,0,319.0,37
upper,100,1,82,0,1.4299210888108569,0,339.0,37
upper,100,1,86,0,1.4194687337919638,0,344.0,37
upper,100,1,90,0,1.473342028215734,0,356.0,37
upper,100,1,95,1,1.4067497826256847,0,342.0,37
upper,100,1,97,1,1.4194687337919643,0,353.0,37
upper,100,1,98,1,1.4131092582088243,0,387.0,37
upper,100,1,99,1,1.4888696840230065,0,351.0,37
upper,100,0,4,1,inf,1,46.0,34
upper,100,0,12,0,1.2432201260424112,0,267.0,34
upper,100,0,14,1,0.8535133055179633,0,279.0,34
upper,100,0,16,1,0.8535133055179631,0,347.0,34
upper,100,0,22,0,0.8535133055179633,0,348.0,34
upper,100,0,26,1,1.3638559258173517,0,355.0,34
upper,100,0,27,1,0.8535133055179633,0,336.0,34
upper,100,0,33,0,0.8446742565780962,0,336.0,34
upper,100,0,37,0,0.9926725800038518,0,316.0,34
upper,100,0,38,1,0.9374778679305107,0,329.0,34
upper,100,0,40,0,0.9926725800038518,0,322.0,34
upper,100,0,42,1,0.854819858892488,0,349.0,34
upper,100,0,44,1,0.8561264122670127,0,349.0,34
upper,100,0,45,1,0.9483690854392073,0,357.0,34
upper,100,0,47,1,0.8535133055179633,0,319.0,34
upper,100,0,49,0,1.363855925817352,0,372.0,34
upper,100,0,57,1,0.9374778679305105,0,334.0,34
upper,100,0,60,1,0.8535133055179633,0,349.0,34
upper,100,0,63,0,0.8535133055179633,0,358.0,34
upper,100,0,64,1,0.854819858892488,0,345.0,34
upper,100,0,65,1,0.8535133055179633,0,348.0,34
upper,100,0,67,0,1.0193973490207022,0,388.0,34
upper,100,0,70,0,0.9926725800038518,0,386.0,34
upper,100,0,73,0,0.8529168424699931,0,407.0,34
upper,100,0,77,0,1.0193973490207022,0,388.0,34
upper,100,0,78,1,0.9374778679305102,0,374.0,34
upper,100,0,80,0,1.2273490375109766,0,396.0,34
upper,100,0,83,0,1.1684027529915126,0,359.0,34
upper,100,0,84,0,1.087249373662074,0,372.0,34
upper,100,0,85,0,0.9926725800038518,0,366.0,34
upper,100,0,87,1,1.1516774705961987,0,382.0,34
upper,100,0,94,0,0.9403912213772063,0,364.0,34
upper,100,0,97,1,1.2273490375109766,0,353.0,34
upper,100,0,99,1,1.0761280147899375,0,371.0,34
upper,100,2,2,1,inf,1,2.0,34
upper,100,2,5,1,2.087779996447093,0,168.0,34
upper,100,2,8,1,1.7512292941300815,0,302.0,34
upper,100,2,9,0,1.5918679607899722,0,392.0,34
upper,100,2,13,0,1.3895552598569345,0,345.0,34
upper,100,2,14,1,1.7512292941300815,0,351.0,34
upper,100,2,15,1,1.3721577513025864,0,398.0,34
upper,100,2,16,1,1.281108778353065,0,404.0,34
upper,100,2,21,0,1.0930653429976385,0,374.0,34
upper,100,2,25,1,1.093065342997638,0,386.0,34
upper,100,2,31,1,1.093065342997638,0,331.0,34
upper,100,2,40,1,1.093065342997638,0,347.0,34
upper,100,2,44,1,1.0392806442505917,0,337.0,34
upper,100,2,50,1,1.0930653429976385,0,326.0,34
upper,100,2,52,0,1.0696317295260864,0,355.0,34
upper,100,2,56,1,1.0930653429976382,0,328.0,34
upper,100,2,57,0,1.0696317295260862,0,362.0,34
upper,100,2,62,0,1.0813485362618622,0,336.0,34
upper,100,2,65,0,1.0647445954546295,0,380.0,34
upper,100,2,67,0,1.0930653429976385,0,361.0,34
upper,100,2,69,1,1.1067768746267368,0,372.0,34
upper,100,2,70,1,1.102195916804697,0,366.0,34
upper,100,2,71,1,1.1987295576691428,0,370.0,34
upper,100,2,72,0,1.2510690090067231,0,363.0,34
upper,100,2,76,0,1.1796432808371415,0,373.0,34
upper,100,2,79,0,1.1796432808371415,0,363.0,34
upper,100,2,81,1,1.1067768746267368,0,363.0,34
upper,100,2,82,0,1.1987295576691426,0,349.0,34
upper,100,2,87,0,1.251069009006723,0,387.0,34
upper,100,2,90,1,1.4553187579800504,0,381.0,34
upper,100,2,94,0,1.1987295576691426,0,391.0,34
upper,100,2,95,0,1.3721577513025864,0,369.0,34
upper,100,2,96,1,1.2510690090067231,0,382.0,34
upper,100,2,98,1,1.1818854193288102,0,394.0,34
upper,100,3,1,1,inf,1,1.0,41
upper,100,3,2,1,inf,1,2.0,41
upper,100,3,6,1,inf,1,281.0,41
upper,100,3,8,0,2.77016183920236,0,350.0,41
upper,100,3,10,1,2.978529641729459,0,406.0,41
upper,100,3,11,1,1.9928519368630748,0,410.0,41
upper,100,3,13,1,2.8676019867675193,0,351.0,41
upper,100,3,15,0,2.7566743318055797,0,355.0,41
upper,100,3,21,1,2.7566743318055797,0,358.0,41
upper,100,3,24,0,2.4691693704540203,0,392.0,41
upper,100,3,26,1,2.6608868415002465,0,398.0,41
upper,100,3,27,1,2.7566743318055797,0,404.0,41
upper,100,3,29,0,2.415182815304055,0,419.0,41
upper,100,3,30,1,2.6608868415002465,0,408.0,41
upper,100,3,32,1,2.660886841500247,0,419.0,41
upper,100,3,33,1,2.565099351194914,0,473.0,41
upper,100,3,35,1,2.565099351194914,0,463.0,41
upper,100,3,38,1,2.265266279413197,0,417.0,41
upper,100,3,40,1,1.901709917740474,0,418.0,41
upper,100,3,45,1,1.6878053128910087,0,431.0,41
upper,100,3,46,1,1.9017099177404744,0,433.0,41
upper,100,3,48,0,1.9017099177404742,0,433.0,41
upper,100,3,52,1,1.6878053128910084,0,422.0,41
upper,100,3,54,1,1.719927075559735,0,472.0,41
upper,100,3,56,0,1.77461558770276,0,459.0,41
upper,100,3,61,1,1.598449988854684,0,452.0,41
upper,100,3,68,1,1.7340412514638375,0,424.0,41
upper,100,3,69,0,1.77461558770276,0,445.0,41
upper,100,3,70,0,1.6878053128910084,0,425.0,41
upper,100,3,78,1,1.9017099177404742,0,419.0,41
upper,100,3,79,0,1.734041251463838,0,421.0,41
upper,100,3,80,1,1.8371711535997457,0,420.0,41
upper,100,3,81,1,1.8373608846302676,0,443.0,41
upper,100,3,82,1,1.7340412514638377,0,432.0,41
upper,100,3,83,0,1.7340412514638375,0,421.0,41
upper,100,3,88,0,1.693023570840209,0,415.0,41
upper,100,3,90,1,1.7340412514638377,0,439.0,41
upper,100,3,91,1,1.836981422569224,0,432.0,41
upper,100,3,92,1,1.77461558770276,0,440.0,41
upper,100,3,93,1,1.7746155877027598,0,437.0,41
upper,100,3,94,0,1.8373608846302676,0,449.0,41
upper,100,5,5,1,3.6658213399979918,0,168.0,37
upper,100,5,9,1,3.6658213399979918,0,289.0,37
upper,100,5,13,1,3.1936171279070575,0,351.0,37
upper,100,5,15,0,1.8052305825879222,0,337.0,37
upper,100,5,21,1,2.0119786834376736,0,249.0,37
upper,100,5,22,1,1.889752090014233,0,302.0,37
upper,100,5,24,0,1.6467823475735455,0,286.0,37
upper,100,5,25,0,1.6744056124402693,0,320.0,37
upper,100,5,26,1,2.3366548411157426,0,350.0,37
upper,100,5,27,1,2.3366548411157426,0,337.0,37
