Experiment Results - 20250816_184713
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    1 |    519 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    2 |    318 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    3 |    215 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    4 |    175 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  141.669 |   51.485
     Upper |    5 |    321 |   0.997 |   0.056 |     inf |     nan |       0.994 |       0.079 |  953.645 |  309.701
     Upper |    6 |    265 |   0.981 |   0.136 |     inf |     nan |       0.992 |       0.087 | 1162.675 |  373.423
     Upper |    7 |    213 |   0.986 |   0.118 |     inf |     nan |       0.981 |       0.136 | 1182.864 |  401.184
     Upper |    8 |    308 |   0.958 |   0.201 |     inf |     nan |       0.877 |       0.329 | 1278.990 |  423.408
     Upper |    9 |    303 |   0.967 |   0.179 |     inf |     nan |       0.855 |       0.352 | 1105.954 |  396.082
     Upper |   10 |    234 |   0.970 |   0.170 |     inf |     nan |       0.863 |       0.344 | 1116.115 |  389.597
     Upper |   11 |    328 |   0.893 |   0.309 |     inf |     nan |       0.683 |       0.465 | 1197.302 |  391.520
     Upper |   12 |    280 |   0.918 |   0.275 |     inf |     nan |       0.700 |       0.458 | 1124.621 |  375.527
     Upper |   13 |    242 |   0.913 |   0.282 |     inf |     nan |       0.694 |       0.461 | 1027.426 |  339.785
     Upper |   14 |    248 |   0.895 |   0.306 |     inf |     nan |       0.722 |       0.448 | 1012.653 |  357.280
     Upper |   15 |    302 |   0.881 |   0.324 |   3.931 |     nan |       0.464 |       0.499 | 1099.358 |  347.531
     Upper |   16 |    278 |   0.881 |   0.323 |   4.156 |     nan |       0.453 |       0.498 | 1050.579 |  346.308
     Upper |   17 |    251 |   0.873 |   0.334 |   3.460 |     nan |       0.434 |       0.496 | 1029.163 |  349.671
     Upper |   18 |    303 |   0.832 |   0.374 |   2.799 |     nan |       0.271 |       0.444 | 1088.835 |  319.850
     Upper |   19 |    287 |   0.871 |   0.335 |   2.880 |     nan |       0.282 |       0.450 | 1024.537 |  309.505
     Upper |   20 |    228 |   0.807 |   0.395 |   3.111 |     nan |       0.320 |       0.467 | 1019.307 |  327.513
     Upper |   21 |    309 |   0.832 |   0.374 |   2.476 |     nan |       0.139 |       0.346 | 1103.440 |  330.974
     Upper |   22 |    296 |   0.838 |   0.369 |   2.614 |     nan |       0.189 |       0.392 | 1017.490 |  311.746
     Upper |   23 |    271 |   0.815 |   0.388 |   2.644 |     nan |       0.225 |       0.418 |  955.631 |  313.366
     Upper |   24 |    244 |   0.852 |   0.355 |   2.683 |     nan |       0.221 |       0.415 |  937.484 |  302.771
     Upper |   25 |    304 |   0.763 |   0.425 |   2.372 |     nan |       0.109 |       0.311 | 1024.105 |  308.191
     Upper |   26 |    300 |   0.787 |   0.410 |   2.392 |     nan |       0.153 |       0.360 |  961.923 |  305.382
     Upper |   27 |    278 |   0.773 |   0.419 |   2.312 |     nan |       0.115 |       0.319 |  993.478 |  292.333
     Upper |   28 |    298 |   0.745 |   0.436 |   2.242 |     nan |       0.084 |       0.277 | 1031.094 |  307.056
     Upper |   29 |    271 |   0.801 |   0.399 |   2.228 |     nan |       0.100 |       0.300 |  976.897 |  291.096
     Upper |   30 |    271 |   0.764 |   0.425 |   2.336 |     nan |       0.085 |       0.279 |  975.173 |  278.998
     Upper |   31 |    316 |   0.756 |   0.429 |   2.119 |     nan |       0.041 |       0.199 | 1044.101 |  274.194
     Upper |   32 |    291 |   0.787 |   0.409 |   2.114 |     nan |       0.045 |       0.207 | 1004.656 |  281.607
     Upper |   33 |    278 |   0.759 |   0.428 |   2.169 |     nan |       0.050 |       0.219 |  961.468 |  289.337
     Upper |   34 |    271 |   0.827 |   0.379 |   2.205 |     nan |       0.059 |       0.236 |  958.280 |  271.159
     Upper |   35 |    308 |   0.721 |   0.449 |   2.039 |     nan |       0.013 |       0.113 | 1024.812 |  270.003
